z,hybrid_u0,hybrid_u1,hybrid_u2
1.801566986632012132e-02,1.577919569686175567e-04,4.126955535782518700e-11,0.000000000000000000e+00
4.870105339179461174e-02,4.950384584800230975e-04,3.821691254590373306e-10,0.000000000000000000e+00
7.938643691726919582e-02,9.281111435025073131e-04,2.043138032429667843e-09,0.000000000000000000e+00
1.100718204427437868e-01,1.467103014218556654e-03,8.878797299692112989e-09,0.000000000000000000e+00
1.407572039682183918e-01,2.120962688145115217e-03,3.395127305008597311e-08,0.000000000000000000e+00
1.714425874936929550e-01,2.897668734348284383e-03,1.177901484029909384e-07,0.000000000000000000e+00
2.021279710191675183e-01,3.804596919642407732e-03,3.762332009468573044e-07,0.000000000000000000e+00
2.328133545446420816e-01,4.848966271784684728e-03,1.114979679598064337e-06,0.000000000000000000e+00
2.634987380701165893e-01,6.038251750113067702e-03,3.078991860112649230e-06,0.000000000000000000e+00
2.941841215955912081e-01,7.380494403566804570e-03,7.941594877563638871e-06,0.000000000000000000e+00
3.248695051210658269e-01,8.884491965265089650e-03,1.915466748413133835e-05,0.000000000000000000e+00
3.555548886465403902e-01,1.055988405485635585e-02,4.322152891304826525e-05,0.000000000000000000e+00
3.862402721720149534e-01,1.241715163500428654e-02,9.124453779884985564e-05,0.000000000000000000e+00
4.322683474602267428e-01,1.549274462958030382e-02,2.247030328317780202e-04,0.000000000000000000e+00
4.629537309857012506e-01,1.785068623088361187e-02,4.095721503690533919e-04,0.000000000000000000e+00
4.936391145111757583e-01,2.043227224579012569e-02,6.987088028308204111e-04,0.000000000000000000e+00
5.243244980366503771e-01,2.325045525936574042e-02,1.118137934814063565e-03,0.000000000000000000e+00
5.550098815621249404e-01,2.631835978928565370e-02,1.684922046747115449e-03,0.000000000000000000e+00
5.744926647529023933e-01,2.843316869394430652e-02,2.141439019511163708e-03,0.000000000000000000e+00
6.134582311344572991e-01,3.288539433557698816e-02,3.172938797775470398e-03,0.000000000000000000e+00
6.381982732814762693e-01,3.600338650638602173e-02,3.972242328447369089e-03,0.000000000000000000e+00
6.793542887654563378e-01,4.151564373312418427e-02,5.443518480157246917e-03,0.000000000000000000e+00
7.157079632679490544e-01,4.687900106543896328e-02,6.947196924025709347e-03,-4.476821471259428832e-14
7.471238898038470300e-01,5.191131749483725993e-02,8.402729861799662289e-03,-3.253971753629811223e-13
7.785398163397450055e-01,5.730170807517839804e-02,9.997068133210391949e-03,-2.256557770073477221e-12
8.099557428756429811e-01,6.306206303767568355e-02,1.173324757824588740e-02,-1.435172943331439941e-11
8.413716694115408457e-01,6.920348684094337899e-02,1.361317324061125413e-02,-8.150771337703002459e-11
8.727875959474388212e-01,7.573616765589633038e-02,1.563745957078496729e-02,-4.089609056231832440e-10
9.042035224833369078e-01,8.266924270651129780e-02,1.780526789326217912e-02,-1.813058694334100396e-09
9.356194490192347724e-01,9.001066020100036147e-02,2.011414297063896656e-02,-7.142450853376153534e-09
9.670353755551327479e-01,9.776703867399386128e-02,2.255985070640740067e-02,-2.520062770884466898e-08
9.984513020910306125e-01,1.059435246447898715e-01,2.513621922842274384e-02,-8.030759035541661470e-08
1.029867228626928366e+00,1.145436495785846637e-01,2.783498578181051869e-02,-2.330388121860126235e-07
1.061283155162826342e+00,1.235691872157825416e-01,3.064565202925423684e-02,-6.204834525292319393e-07
1.092699081698724317e+00,1.330200124079030655e-01,3.355535050367604299e-02,-1.526463215931003334e-06
1.124115008234622293e+00,1.428939626661326345e-01,3.654872507876340271e-02,-3.491765762114935877e-06
