z,mol_u0,mol_u1,mol_u2
1.570796326794896697e-02,1.241188095882892706e-05,3.586526020203901829e-11,-2.128095642213992602e-26
4.712388980384690090e-02,7.980107305108360516e-05,6.904561105119740855e-10,-1.392219765981868659e-24
7.853981633974482790e-02,2.637190012617738753e-04,6.661135073146043916e-09,-4.491147322711139505e-23
1.099557428756427757e-01,6.115909618174138716e-04,4.298719300418506906e-08,-9.527867210266061837e-22
1.413716694115406958e-01,1.138709659077084260e-03,2.090037160451498592e-07,-1.495925925941554666e-20
1.727875959474386158e-01,1.836541652073629812e-03,8.175699193371482880e-07,-1.854733272252416332e-19
2.042035224833365636e-01,2.690559123733754932e-03,2.683492540619428688e-06,-1.892381277032524824e-18
2.356194490192345115e-01,3.691875787623818007e-03,7.611265659274396665e-06,-1.634985043097406359e-17
2.670353755551324593e-01,4.839994910420216886e-03,1.906854956903082117e-05,-1.221677547898850057e-16
2.984513020910303793e-01,6.140902309571014822e-03,4.292597963213252776e-05,-8.024125227896670582e-16
3.298672286269282994e-01,7.604418197787048833e-03,8.804176098594840229e-05,-4.693194095993434721e-15
3.612831551628262750e-01,9.242361318148083552e-03,1.664361225116171199e-04,-2.470494622200772114e-14
3.926990816987241950e-01,1.106759267020743752e-02,2.928787204983777535e-04,-1.180891373950827482e-13
4.241150082346221151e-01,1.309359020207213203e-02,4.838867953395227517e-04,-5.164696879775854705e-13
4.555309347705200906e-01,1.533426538449878841e-02,7.563316185123310394e-04,-2.080392734132512334e-12
4.869468613064180107e-01,1.780386858744276157e-02,1.125985265708987501e-03,-7.762782877378316131e-12
5.183627878423159308e-01,2.051691931135802074e-02,1.606350660393050019e-03,-2.697013266620201475e-11
5.497787143782139063e-01,2.348813860892800393e-02,2.208007938494176148e-03,-8.764557798892362093e-11
5.811946409141117709e-01,2.673237660590982098e-02,2.938535623297944439e-03,-2.675161079787162030e-10
6.126105674500097464e-01,3.026453310707795039e-02,3.802900560003408346e-03,-7.697827516683226389e-10
6.440264939859076110e-01,3.409947077220121942e-02,4.804111920189055827e-03,-2.095400448540068158e-09
6.754424205218055866e-01,3.825192078456214617e-02,5.943919244888673341e-03,-5.412583688191815477e-09
7.068583470577035621e-01,4.273638109355513970e-02,7.223384574483408122e-03,-1.330547066982035028e-08
7.382742735936014267e-01,4.756700740833254976e-02,8.643238763525962209e-03,-3.121023973130875130e-08
7.696902001294994022e-01,5.275749720424574574e-02,1.020400832904694820e-02,-7.002822340833778722e-08
8.011061266653973778e-01,5.832096708952434067e-02,1.190595125049559097e-02,-1.506433663005687796e-07
8.325220532012952424e-01,6.426982396817670917e-02,1.374886306483929892e-02,-3.113517986228265053e-07
8.639379797371932179e-01,7.061563052627582715e-02,1.573181425789300231e-02,-6.194974528432852800e-07
8.953539062730911935e-01,7.736896566192290325e-02,1.785286650279077625e-02,-1.188835157540562773e-06
9.267698328089890580e-01,8.453928057341422719e-02,2.010879804914253097e-02,-2.204221438772951077e-06
9.581857593448870336e-01,9.213475131452410205e-02,2.249485352236806415e-02,-3.955058621271855410e-06
9.896016858807848982e-01,1.001621287193480148e-01,2.500452305630815678e-02,-6.878391539944178292e-06
1.021017612416682763e+00,1.086265866907410449e-01,2.762935008353713251e-02,-1.161161558365287035e-05
1.052433538952580738e+00,1.175315699348964404e-01,3.035876506634858224e-02,-1.905340370092263133e-05
1.083849465488478714e+00,1.268786423088509585e-01,3.317994253721212594e-02,-3.042979267362795848e-05
1.115265392024376467e+00,1.366673370264654963e-01,3.607767986490473255e-02,-4.736057780927951542e-05
1.146681318560274443e+00,1.468950100404564640e-01,3.903429742354955212e-02,-7.191952504959447348e-05
1.178097245096172418e+00,1.575566979821128588e-01,4.202956093663106490e-02,-1.066807369537017868e-04
1.209513171632070394e+00,1.686449820951767820e-01,4.504062756432935383e-02,-1.547431023407690978e-04
1.240929098167968370e+00,1.801498596447800027e-01,4.804201780032546498e-02,-2.197253310707061023e-04
1.272345024703866123e+00,1.920586243151467254e-01,5.100561549599048200e-02,-3.057256938937613156e-04
1.303760951239764099e+00,2.043557571298790509e-01,5.390069839594462120e-02,-4.172431434740278273e-04
1.335176877775662074e+00,2.170228294349987319e-01,5.669400149898695673e-02,-5.590597028669930029e-04
1.366592804311560050e+00,2.300384194765993096e-01,5.934981538705572102e-02,-7.360874547367641553e-04
1.398008730847458025e+00,2.433780440811273149e-01,6.183012141419374358e-02,-9.531866701823347218e-04
1.429424657383356001e+00,2.570141069062771289e-01,6.409476533070877780e-02,-1.214964128840306063e-03
1.460840583919253755e+00,2.709158646737033771e-01,6.610167054289270427e-02,-1.525562161347442190e-03
1.492256510455151730e+00,2.850494127208343387e-01,6.780709178126138881e-02,-1.888449222568049438e-03
1.523672436991049706e+00,2.993776911178312461e-01,6.916590947481486562e-02,-2.306221907875704961e-03
1.555088363526947681e+00,3.138605124871232666e-01,7.013196460982770719e-02,-2.780426467067914631e-03
1.586504290062845657e+00,3.284546125372013181e-01,7.065843329421234165e-02,-3.311405397639659819e-03
1.617920216598743410e+00,3.431137241798084547e-01,7.069823965838396840e-02,-3.898172021890964831e-03
1.649336143134641386e+00,3.577886759409953932e-01,7.020450510748629802e-02,-4.538313469949048842e-03
1.680752069670539361e+00,3.724275152025032787e-01,6.913103130539083319e-02,-5.227920525525996467e-03
1.712167996206437337e+00,3.869756566216754901e-01,6.743281362647614297e-02,-5.961541544838088597e-03
1.743583922742335313e+00,4.013760558768518782e-01,6.506658116600842756e-02,-6.732157196528850383e-03
1.774999849278233288e+00,4.155694086724511238e-01,6.199135876383195937e-02,-7.531173029882928111e-03
1.806415775814131042e+00,4.294943747153964764e-01,5.816904587942418881e-02,-8.348427701692667791e-03
1.837831702350029017e+00,4.430878261440859833e-01,5.356500656996247833e-02,-9.172215864856952602e-03
1.869247628885926993e+00,4.562851196548124433e-01,4.814866427791406750e-02,-9.989326016977811279e-03
1.900663555421824968e+00,4.690203913306335570e-01,4.189409464187889010e-02,-1.078509482042490711e-02
1.932079481957722944e+00,4.812268729365848929e-01,3.478060911494884611e-02,-1.154348037934621422e-02
1.963495408493620697e+00,4.928372282052649878e-01,2.679332181932553986e-02,-1.224715759541884948e-02
1.994911335029518673e+00,5.037839074008521045e-01,1.792369179446481886e-02,-1.287763898262585943e-02
2.026327261565416649e+00,5.139995182201436696e-01,8.170032617954920556e-03,-1.341542421114148322e-02
2.057743188101314402e+00,5.234172108689553182e-01,-2.462018697899431667e-03,-1.384018121589660616e-02
2.089159114637212600e+00,5.319710749438806285e-01,-1.395908159794493307e-02,-1.413096101101333699e-02
2.120575041173110353e+00,5.395965455556208656e-01,-2.629966858075403688e-02,-1.426644746795936031e-02
2.151990967709008551e+00,5.462308159534787766e-01,-3.945388614881524536e-02,-1.422524231016837788e-02
2.183406894244906304e+00,5.518132537536594162e-01,-5.338320737170890867e-02,-1.398618450722676279e-02
2.214822820780804058e+00,5.562858177390784808e-01,-6.804032280902104490e-02,-1.352870216226019148e-02
2.246238747316702256e+00,5.595934720876601931e-01,-8.336907590503375709e-02,-1.283319390942563865e-02
2.277654673852600009e+00,5.616845948015933843e-01,-9.930448821349477373e-02,-1.188143579699915513e-02
2.309070600388498207e+00,5.625113770534683200e-01,-1.157728789430968047e-01,-1.065700864105901917e-02
2.340486526924395960e+00,5.620302101381238202e-01,-1.326920823398868854e-01,-9.145739906903711802e-03
2.371902453460293714e+00,5.602020567226214665e-01,-1.499717653509697601e-01,-7.336153320484780846e-03
2.403318379996191911e+00,5.569928031218922548e-01,-1.675138468558024230e-01,-5.219918641134311046e-03
2.434734306532089665e+00,5.523735893948571452e-01,-1.852130185203371138e-01,-2.792293352076922683e-03
2.466150233067987863e+00,5.463211141554114025e-01,-2.029573660401982060e-01,-5.254746078429657977e-05
2.497566159603885616e+00,5.388179111243937003e-01,-2.206290882085456262e-01,2.995637837162279816e-03
2.528982086139783370e+00,5.298525946120761221e-01,-2.381053098902817522e-01,6.343807172815010484e-03
2.560398012675681567e+00,5.194200713148316995e-01,-2.552589836258585820e-01,9.978413375846520786e-03
2.591813939211579321e+00,5.075217160332621269e-01,-2.719598732451685152e-01,1.388055484392754398e-02
2.623229865747477518e+00,4.941655091705063896e-01,-2.880756115653660410e-01,1.802577732213662617e-02
2.654645792283375272e+00,4.793661341467560510e-01,-3.034728229967638136e-01,2.238394907713596796e-02
2.686061718819273469e+00,4.631450331668059972e-01,-3.180183007088717151e-01,2.691921781450084400e-02
2.717477645355171223e+00,4.455304200991593855e-01,-3.315802269343965936e-01,3.159005683870052400e-02
2.748893571891068976e+00,4.265572495648288776e-01,-3.440294240320389552e-01,3.634940689416364668e-02
2.780309498426967174e+00,4.062671416883542053e-01,-3.552406231074151099e-01,4.114491885777076668e-02
2.811725424962864928e+00,3.847082623292507608e-01,-3.650937363221393173e-01,4.591930098823998607e-02
2.843141351498763125e+00,3.619351589855369089e-01,-3.734751185188788236e-01,5.061077279160396819e-02
2.874557278034660879e+00,3.380085529383937692e-01,-3.802788034677275220e-01,5.515362575490444230e-02
2.905973204570558632e+00,3.129950885845261266e-01,-3.854076999068345444e-01,5.947888925799668658e-02
2.937389131106456830e+00,2.869670412765483736e-01,-3.887747326153770944e-01,6.351509792638029839e-02
2.968805057642354583e+00,2.600019853577432705e-01,-3.903039140244212724e-01,6.718915457110503919e-02
3.000220984178252781e+00,2.321824244319942443e-01,-3.899313323425400157e-01,7.042728071376835874e-02
3.031636910714150535e+00,2.035953862487832611e-01,-3.876060428467448804e-01,7.315604455741653300e-02
3.063052837250048288e+00,1.743319849031601532e-01,-3.832908498605587244e-01,7.530345418228896748e-02
3.094468763785946486e+00,1.444869533481411283e-01,-3.769629680019523366e-01,7.680010176493588803e-02
3.125884690321844239e+00,1.141581494887279752e-01,-3.686145525232391584e-01,7.758034278714590060e-02
3.157300616857742437e+00,8.344603936973019054e-02,-3.582530899686998671e-01,7.758349256384940162e-02
3.188716543393640190e+00,5.245316118112882536e-02,-3.459016419266537912e-01,7.675502102183377751e-02
3.220132469929537944e+00,2.128357398243617069e-02,-3.315989363311803162e-01,7.504772554632838100e-02
3.251548396465436142e+00,-9.957704810503762577e-03,-3.153993025527160321e-01,7.242286091929078795e-02
3.282964323001333895e+00,-4.116526902824701323e-02,-2.973724483821492681e-01,6.885120493585261681e-02
3.314380249537232093e+00,-7.223389622591878945e-02,-2.776030789340674376e-01,6.431403823244376261e-02
3.345796176073129846e+00,-1.030591187959190025e-01,-2.561903594444369658e-01,5.880401721350518585e-02
3.377212102609027600e+00,-1.335377894870694304e-01,-2.332472258882701543e-01,5.232591973779424088e-02
3.408628029144925797e+00,-1.635686371542958151e-01,-2.088995492655595643e-01,4.489724442623419659e-02
3.440043955680823551e+00,-1.930528086540134192e-01,-1.832851612706538624e-01,3.654864607841008112e-02
3.471459882216721748e+00,-2.218943929292625517e-01,-1.565527508437022930e-01,2.732419172237481736e-02
3.502875808752619502e+00,-2.500009234938942448e-01,-1.288606427761621598e-01,1.728142425128267184e-02
3.534291735288517700e+00,-2.772838557249305280e-01,-1.003754710804091177e-01,6.491223390074975751e-03
3.565707661824415453e+00,-3.036590156043230682e-01,-7.127076121300826572e-02,-4.962543153418964847e-03
3.597123588360313207e+00,-3.290470168132255679e-01,-4.172543644109759364e-02,-1.698358211407755003e-02
3.628539514896211404e+00,-3.533736433706003988e-01,-1.192226464336462732e-02,-2.946395083080499341e-02
3.659955441432109158e+00,-3.765701953204121932e-01,1.795373737419368038e-02,-4.228504354578400265e-02
3.691371367968007355e+00,-3.985737953043673731e-01,4.771692440421808346e-02,-5.531878040094339449e-02
3.722787294503905109e+00,-4.193276542065364487e-01,7.718265023287299020e-02,-6.842898783502629478e-02
3.754203221039802862e+00,-4.387812944185375263e-01,1.061688838408250818e-01,-8.147295529205118847e-02
3.785619147575701060e+00,-4.568907296453549316e-01,1.344977964978569529e-01,-9.430314950037492483e-02
3.817035074111598814e+00,-4.736186005484449013e-01,1.619973022272545304e-01,-1.067690641486126746e-01
3.848451000647497011e+00,-4.889342659006215563e-01,1.885025347368335102e-01,-1.187191796460212168e-01
3.879866927183394765e+00,-5.028138493024124633e-01,2.138572447567432533e-01,-1.300030048826819051e-01
3.911282853719292518e+00,-5.152402418783837978e-01,2.379151027770541327e-01,-1.404731705656971918e-01
3.942698780255190716e+00,-5.262030617306518998e-01,2.605408934243607644e-01,-1.499875418613683120e-01
3.974114706791088469e+00,-5.356985712719642967e-01,2.816115891372268920e-01,-1.584113167712573045e-01
4.005530633326986667e+00,-5.437295538890649649e-01,3.010172923735927597e-01,-1.656190759535175194e-01
4.036946559862884421e+00,-5.503051516955232980e-01,3.186620372854547245e-01,-1.714967496002235692e-01
4.068362486398782174e+00,-5.554406664190659759e-01,3.344644436016606659e-01,-1.759434675149510741e-01
4.099778412934679928e+00,-5.591573257292404842e-01,3.483582173415400995e-01,-1.788732597080690823e-01
4.131194339470578569e+00,-5.614820175448940187e-01,3.602924949125658749e-01,-1.802165766325095064e-01
4.162610266006476323e+00,-5.624469950656453276e-01,3.702320290960202653e-01,-1.799216005992016476e-01
4.194026192542374076e+00,-5.620895554459205412e-01,3.781572173675635251e-01,-1.779553229048152774e-01
4.225442119078271830e+00,-5.604516951731316476e-01,3.840639749069735265e-01,-1.743043647281483088e-01
4.256858045614169583e+00,-5.575797453225969091e-01,3.879634564964399845e-01,-1.689755238467245957e-01
4.288273972150068225e+00,-5.535239899404914565e-01,3.898816332642940918e-01,-1.619960336223652819e-01
4.319689898685965979e+00,-5.483382708526085558e-01,3.898587318773789057e-01,-1.534135254245785063e-01
4.351105825221863732e+00,-5.420795822113977369e-01,3.879485452989801519e-01,-1.432956906165103184e-01
4.382521751757761486e+00,-5.348076580774493438e-01,3.842176255913311578e-01,-1.317296433266930133e-01
4.413937678293659239e+00,-5.265845562853614936e-01,3.787443704359046426e-01,-1.188209903734009226e-01
4.445353604829557881e+00,-5.174742417691889917e-01,3.716180160576190161e-01,-1.046926197974449024e-01
4.476769531365455634e+00,-5.075421724210960051e-01,3.629375500604264948e-01,-8.948322439399371275e-02
4.508185457901353388e+00,-4.968548904303001779e-01,3.528105583043644189e-01,-7.334558131693008631e-02
4.539601384437251141e+00,-4.854796219000722113e-01,3.413520203741693404e-01,-5.644461316707714837e-02
4.571017310973148895e+00,-4.734838873707107876e-01,3.286830684062008734e-01,-3.895525988135720846e-02
4.602433237509047537e+00,-4.609351256885213521e-01,3.149297240561746425e-01,-2.106019413493663214e-02
4.633849164044945290e+00,-4.479003334574431783e-01,3.002216282104527290e-01,-2.947415783980623580e-03
4.665265090580843044e+00,-4.344457220937389397e-01,2.846907776766486875e-01,1.519223694429945766e-02
4.696681017116740797e+00,-4.206363942777653353e-01,2.684702825459899245e-01,3.316762030927366406e-02
4.728096943652638551e+00,-4.065360413629818814e-01,2.516931572134419870e-01,5.078982196996875004e-02
4.759512870188537192e+00,-3.922066630636875106e-01,2.344911571874122302e-01,6.787466190111390851e-02
4.790928796724434946e+00,-3.777083105021307730e-01,2.169936728359838918e-01,8.424511792737804372e-02
4.822344723260332700e+00,-3.630988534551364277e-01,1.993266901195896446e-01,9.973363787272560010e-02
4.853760649796230453e+00,-3.484337724026737582e-01,1.816118271704563192e-01,1.141843023889803216e-01
4.885176576332128207e+00,-3.337659757481113432e-01,1.639654543172795464e-01,1.274548052379148588e-01
4.916592502868026848e+00,-3.191456423544305476e-01,1.464979038401655331e-01,1.394182210990141668e-01
