z,hybrid_u0,hybrid_u1,hybrid_u2
1.064802006072835226e-02,1.145945298707219461e-04,9.926795430273986825e-10,0.000000000000000000e+00
6.141403059012506133e-02,7.595654482706229015e-04,1.574815588362901524e-08,0.000000000000000000e+00
8.679703585482340111e-02,1.196211562321736026e-03,5.256256735901285321e-08,0.000000000000000000e+00
1.121800411195217478e-01,1.707678020988856937e-03,1.521035542909434495e-07,0.000000000000000000e+00
1.375630463842200946e-01,2.296258138854496283e-03,3.973966382426662361e-07,0.000000000000000000e+00
1.629460516489184274e-01,2.965440396964520893e-03,9.587652102476676066e-07,0.000000000000000000e+00
2.137120621783150931e-01,4.473955875070118743e-03,3.374694985974421597e-06,0.000000000000000000e+00
2.390950674430135370e-01,5.408043635036287843e-03,7.089870460797215206e-06,0.000000000000000000e+00
2.644780727077120086e-01,6.441931647936875727e-03,1.416401368500829311e-05,0.000000000000000000e+00
2.898610779724105635e-01,7.580872588814474393e-03,2.699258038900872574e-05,0.000000000000000000e+00
3.406270885018076178e-01,1.007994609389069145e-02,7.138214390005402470e-05,0.000000000000000000e+00
3.660100937665061172e-01,1.156232378101629439e-02,1.225538092680559057e-04,0.000000000000000000e+00
3.913930990312046720e-01,1.317332839398752641e-02,2.018492575912916246e-04,0.000000000000000000e+00
4.167761042959031714e-01,1.491959031254560739e-02,3.194384001158481279e-04,0.000000000000000000e+00
4.675421148253002257e-01,1.869631329874294270e-02,6.537011611956277226e-04,0.000000000000000000e+00
4.929251200899986696e-01,2.088290517223998985e-02,9.427966259908048506e-04,0.000000000000000000e+00
5.183081253546970579e-01,2.323291325057137702e-02,1.314069666969544005e-03,0.000000000000000000e+00
5.436911306193953353e-01,2.575368299769128719e-02,1.774559957244806847e-03,0.000000000000000000e+00
5.944571411487920010e-01,3.115148761024254601e-02,2.882094711760090078e-03,0.000000000000000000e+00
6.198401464134902783e-01,3.422138022503560389e-02,3.625294291708756368e-03,0.000000000000000000e+00
6.452231516781885556e-01,3.749140938485380492e-02,4.462464395621405615e-03,0.000000000000000000e+00
6.706061569428869440e-01,4.096874373991259144e-02,5.391511881040520794e-03,0.000000000000000000e+00
7.213721674722834987e-01,4.835206772366867217e-02,7.430646554324464755e-03,0.000000000000000000e+00
7.460500892574069010e-01,5.237122906389692772e-02,8.596993557895412849e-03,0.000000000000000000e+00
7.731964253447171087e-01,5.703612540921153273e-02,9.974122071777970916e-03,0.000000000000000000e+00
8.157079632679485881e-01,6.477186093603010120e-02,1.229455797955272649e-02,-1.103239387843638556e-11
8.471238898038465637e-01,7.099944191053152165e-02,1.420053685164434851e-02,-4.227627852115221230e-11
8.785398163397444282e-01,7.761824738947044333e-02,1.624839035401759099e-02,-1.619616512029456149e-10
9.099557428756424038e-01,8.463698607544566099e-02,1.843673901263740214e-02,-6.176136892131937608e-10
9.413716694115400463e-01,9.206314875251221663e-02,2.076256076120821387e-02,-2.316444477115975255e-09
9.727875959474379108e-01,9.990286875514080289e-02,2.322103279442348442e-02,-8.389934703159747271e-09
1.004203522483335664e+00,1.081607810543860210e-01,2.580537751160873194e-02,-2.879242757883026568e-08
1.035619449019233418e+00,1.168398809560392548e-01,2.850671498016004932e-02,-9.227820720570148536e-08
1.067035375555131393e+00,1.259413834811801136e-01,3.131392450655566539e-02,-2.739309948193565934e-07
1.098451302091029147e+00,1.354645845701853424e-01,3.421351803814835779e-02,-7.510092305150174317e-07
1.129867228626927123e+00,1.454067253158048412e-01,3.718952822702766003e-02,-1.903041343016993149e-06
1.161283155162825098e+00,1.557628604882584922e-01,4.022341406362033023e-02,-4.470335158955166925e-06
1.192699081698723074e+00,1.665257326643559965e-01,4.329398702815129979e-02,-9.774943566045152002e-06
1.224115008234620827e+00,1.776856533123098714e-01,4.637736070860754706e-02,-1.998879352951860659e-05
1.255530934770518803e+00,1.892303922131687022e-01,4.944692679073817154e-02,-3.840890151100508396e-05
1.286946861306416778e+00,2.011450766176502702e-01,5.247336023559032170e-02,-6.967777141856890631e-05
1.318362787842314532e+00,2.134121015426962142e-01,5.542465632033155565e-02,-1.198784184684389438e-04
1.349778714378212507e+00,2.260110526044550039e-01,5.826620202643694596e-02,-1.964452966661076213e-04
1.381194640914110261e+00,2.389186427629061416e-01,6.096088401421067421e-02,-3.078649429453011923e-04
1.412610567450008459e+00,2.521086643173451880e-01,6.346923512331127670e-02,-4.631852730146386924e-04
1.444026493985906212e+00,2.655519574409589967e-01,6.574962098555335588e-02,-6.713964114909618495e-04
1.475442420521804410e+00,2.792163964764073913e-01,6.775846792977748001e-02,-9.407747161818078843e-04
1.506858347057702385e+00,2.930668951324719718e-01,6.945053290098869569e-02,-1.278286559023993768e-03
1.538274273593600361e+00,3.070654316244499360e-01,7.077921561026272179e-02,-1.689129121822846450e-03
1.569690200129498558e+00,3.211710946881777273e-01,7.169691258213627127e-02,-2.176449458681936188e-03
1.601106126665396534e+00,3.353401512697265496e-01,7.215541217742016400e-02,-2.741242202538200692e-03
1.632522053201294732e+00,3.495261365504499507e-01,7.210632904772953933e-02,-3.382392101098201116e-03
1.663937979737192707e+00,3.636799668108812722e-01,7.150157583064786770e-02,-4.096807624792555419e-03
1.695353906273090683e+00,3.777500754679261608e-01,7.029386922943346716e-02,-4.879588215533747775e-03
1.726769832808988436e+00,3.916825724389542684e-01,6.843726694752509665e-02,-5.724177471251962364e-03
1.758185759344886412e+00,4.054214267950857487e-01,6.588773127559095777e-02,-6.622472015497368053e-03
1.789601685880784387e+00,4.189086724656598815e-01,6.260371446795506833e-02,-7.564874904907100718e-03
1.821017612416682141e+00,4.320846365482407525e-01,5.854676040693460731e-02,-8.540298502939001196e-03
1.852433538952580117e+00,4.448881895653526430e-01,5.368211644932274068e-02,-9.536132336701459364e-03
1.883849465488478092e+00,4.572570167924333018e-01,4.797934879056624247e-02,-1.053819620996863243e-02
1.915265392024375846e+00,4.691279095633270613e-01,4.141295418074360246e-02,-1.153069887273552689e-02
1.946681318560273821e+00,4.804370752422194024e-01,3.396296039371334702e-02,-1.249621957838932540e-02
1.978097245096171797e+00,4.911204643365217892e-01,2.561550749783783262e-02,-1.341572558464509783e-02
2.009513171632069994e+00,5.011141130162202195e-01,1.636340171396324927e-02,-1.426863433434487696e-02
2.040929098167967748e+00,5.103544991039671297e-01,6.206633483495072566e-03,-1.503292540260642123e-02
2.072345024703865946e+00,5.187789094091390663e-01,-4.847148684954186160e-03,-1.568530456135013712e-02
2.103760951239764143e+00,5.263258161005651692e-01,-1.678221696040361685e-02,-1.620142042057931206e-02
2.135176877775662341e+00,5.329352596489975724e-01,-2.957440371270807916e-02,-1.655613283555220500e-02
2.166592804311560538e+00,5.385492357238518268e-01,-4.319080969186083613e-02,-1.672383136806501053e-02
2.198008730847458736e+00,5.431120833014773108e-01,-5.758958830357113756e-02,-1.667880134733868563e-02
2.229424657383356934e+00,5.465708711361743077e-01,-7.271981285483375412e-02,-1.639563434823245250e-02
2.260840583919255131e+00,5.488757796621982488e-01,-8.852143294940849338e-02,-1.584967911496644455e-02
2.292256510455153329e+00,5.499804753367005805e-01,-1.049253253957053017e-01,-1.501752808223815253e-02
2.323672436991051526e+00,5.498424744013623577e-01,-1.218534440544226799e-01,-1.387753369161437607e-02
2.355088363526949724e+00,5.484234930355004201e-01,-1.392190720085236533e-01,-1.241034769744920468e-02
2.386504290062847922e+00,5.456897808965943675e-01,-1.569271782940241666e-01,-1.059947563994316846e-02
2.417920216598746119e+00,5.416124350960334066e-01,-1.748748801989931934e-01,-8.431837672266417200e-03
2.449336143134644317e+00,5.361676917387563357e-01,-1.929520108344754681e-01,-5.898326002054702505e-03
2.480752069670542515e+00,5.293371922652773121e-01,-2.110417903209506618e-01,-2.994348381086238062e-03
2.512167996206440712e+00,5.211082219730349685e-01,-2.290215975352531130e-01,2.796536159020378536e-04
2.543583922742339354e+00,5.114739182603675882e-01,-2.467638379448387487e-01,3.917723310572392148e-03
2.574999849278237551e+00,5.004334463296996605e-01,-2.641369016392645097e-01,7.907956761349709679e-03
2.606415775814135305e+00,4.879921403053805729e-01,-2.810062042739487898e-01,1.223213196523961592e-02
2.637831702350033503e+00,4.741616079643871107e-01,-2.972353022904067332e-01,1.686541153957331687e-02
2.669247628885932144e+00,4.589597975428484355e-01,-3.126870724920907119e-01,2.177613062288235452e-02
2.700663555421830342e+00,4.424110253657862479e-01,-3.272249448573507080e-01,2.692568108442000910e-02
2.732079481957728539e+00,4.245459633491269757e-01,-3.407141763819445113e-01,3.226850220378539580e-02
2.763495408493626737e+00,4.054015857391481958e-01,-3.530231527830623994e-01,3.775218677343034068e-02
2.794911335029524935e+00,3.850210747821111168e-01,-3.640247040837718551e-01,4.331771009148753515e-02
2.826327261565422688e+00,3.634536853527775557e-01,-3.735974194481586075e-01,4.889978756084042977e-02
2.857743188101320442e+00,3.407545689115092924e-01,-3.816269461682679220e-01,5.442736460994734154e-02
2.889159114637219083e+00,3.169845575023130801e-01,-3.880072574268441099e-01,5.982424042578383255e-02
2.920575041173116837e+00,2.922099088450663129e-01,-3.926418733848105469e-01,6.500982457033087358e-02
2.951990967709014591e+00,2.665020139107174835e-01,-3.954450202764775990e-01,6.990002297680943111e-02
2.983406894244912344e+00,2.399370686950942633e-01,-3.963427125425591502e-01,7.440824713395352563e-02
3.014822820780810098e+00,2.125957122215426376e-01,-3.952737435919175812e-01,7.844653751517234597e-02
3.046238747316708739e+00,1.845626331017472810e-01,-3.921905715548487104e-01,8.192678954831962568e-02
3.077654673852606493e+00,1.559261472644931090e-01,-3.870600873675895670e-01,8.476206770861795248e-02
3.109070600388504246e+00,1.267777497208214810e-01,-3.798642537001183372e-01,8.686799071238637815e-02
3.140486526924402000e+00,9.721164346827236569e-02,-3.706006045944473803e-01,8.816416835433461829e-02
3.171902453460299753e+00,6.732424884405466270e-02,-3.592825972025541215e-01,8.857566832815089164e-02
3.203318379996198395e+00,3.721369681488331804e-02,-3.459398086829637564e-01,8.803448945938349701e-02
3.234734306532096149e+00,6.979309837866832719e-03,-3.306179731111955067e-01,8.648101621882869905e-02
3.266150233067993902e+00,-2.327892595939573539e-02,-3.133788551578135517e-01,8.386542822705612965e-02
3.297566159603891656e+00,-5.346089345162716167e-02,-2.942999592626945327e-01,8.014903775376214234e-02
3.328982086139789409e+00,-8.346687816903271273e-02,-2.734740750576340473e-01,7.530552799950264442e-02
3.360398012675688051e+00,-1.131980990489983852e-01,-2.510086618327786456e-01,6.932206525358827753e-02
3.391813939211585804e+00,-1.425572324308636007e-01,-2.270250768759750903e-01,6.220025887231137723e-02
3.423229865747483558e+00,-1.714489254999654877e-01,-2.016576545081701921e-01,5.395694442718285133e-02
3.454645792283381311e+00,-1.997802954833798883e-01,-1.750526445629452255e-01,4.462476733287552844e-02
3.486061718819279953e+00,-2.274614110296374336e-01,-1.473670208852514429e-01,3.425254676626806466e-02
3.517477645355177707e+00,-2.544057523666284903e-01,-1.187671721259382779e-01,2.290540270610835760e-02
3.548893571891075460e+00,-2.805306470242609485e-01,-8.942748865879898701e-02,1.066463241958083216e-02
3.580309498426973214e+00,-3.057576781290074486e-01,-5.952886082198331763e-02,-2.372673352452779692e-03
3.611725424962870967e+00,-3.300130625239839355e-01,-2.925710486451305395e-02,-1.609427996715523737e-02
3.643141351498769609e+00,-3.532279962378757632e-01,1.198666056809006425e-03,-3.037372507643389119e-02
3.674557278034667362e+00,-3.753389651160314311e-01,3.164770774958246963e-02,-4.507149751604807436e-02
3.705973204570565116e+00,-3.962880187342827099e-01,6.189932915209245268e-02,-6.003647003035740559e-02
