step,dt
1.000000000000000000e+00,2.386270387561769540e-02
2.000000000000000000e+00,2.564244534072399745e-02
3.000000000000000000e+00,2.678601128090543973e-02
4.000000000000000000e+00,2.326007967306906524e-02
5.000000000000000000e+00,2.315179325126279566e-02
6.000000000000000000e+00,2.121320491644385076e-02
7.000000000000000000e+00,2.074744585813214845e-02
8.000000000000000000e+00,2.113416743139730908e-02
9.000000000000000000e+00,2.176595136402235953e-02
1.000000000000000000e+01,2.086481031249020138e-02
1.100000000000000000e+01,2.232911884717424938e-02
1.200000000000000000e+01,2.383430205938726065e-02
1.300000000000000000e+01,2.474276834453286930e-02
1.400000000000000000e+01,2.551224248174582127e-02
1.500000000000000000e+01,2.630816728761459569e-02
1.600000000000000000e+01,2.695748710479207652e-02
1.700000000000000000e+01,2.075403167170316102e-02
1.800000000000000000e+01,2.711008080171920659e-02
1.900000000000000000e+01,2.189209692489700945e-02
2.000000000000000000e+01,2.314859897382848947e-02
2.100000000000000000e+01,1.469237596726164462e-02
2.200000000000000000e+01,2.492917247984409793e-02
2.300000000000000000e+01,1.799840740782687395e-02
2.400000000000000000e+01,2.012232414936062849e-02
2.500000000000000000e+01,1.162548040116277021e-02
2.600000000000000000e+01,2.149031532973920758e-02
2.700000000000000000e+01,1.692268056821373892e-02
2.800000000000000000e+01,1.885917773277585516e-02
2.900000000000000000e+01,1.759619197746676786e-02
3.000000000000000000e+01,1.621102435761536190e-02
3.100000000000000000e+01,1.541422948454734126e-02
3.200000000000000000e+01,1.449979651741316669e-02
3.300000000000000000e+01,1.366754946808857764e-02
3.400000000000000000e+01,8.486528044817382571e-03
3.500000000000000000e+01,9.647707090346473516e-03
3.600000000000000000e+01,1.203895975724673245e-02
3.700000000000000000e+01,6.429694537028587085e-03
3.800000000000000000e+01,1.120953498012563707e-02
3.900000000000000000e+01,1.021269527698769573e-02
4.000000000000000000e+01,1.034959252497897816e-02
4.100000000000000000e+01,9.618165419824747583e-03
4.200000000000000000e+01,9.184107666710092030e-03
4.300000000000000000e+01,9.338137497364108058e-03
4.400000000000000000e+01,4.293146146604531754e-03
4.500000000000000000e+01,6.899507818789008852e-03
4.600000000000000000e+01,8.565730630400015741e-03
4.700000000000000000e+01,8.496986134624507497e-03
4.800000000000000000e+01,4.570307028455987582e-03
4.900000000000000000e+01,7.044716859737642535e-03
5.000000000000000000e+01,7.995231042277730141e-03
5.100000000000000000e+01,7.811466527990339366e-03
5.200000000000000000e+01,5.583301280941339352e-03
5.300000000000000000e+01,7.324314303388122956e-03
5.400000000000000000e+01,7.372380691788160169e-03
5.500000000000000000e+01,7.228060198827589503e-03
5.600000000000000000e+01,7.092186814979670011e-03
5.700000000000000000e+01,6.964034355969352108e-03
5.800000000000000000e+01,6.842959209389132789e-03
5.900000000000000000e+01,6.728389298514057641e-03
6.000000000000000000e+01,6.619813307583893684e-03
6.100000000000000000e+01,6.516770820809940704e-03
6.200000000000000000e+01,6.418846044492166648e-03
6.300000000000000000e+01,6.325663920220478409e-03
6.400000000000000000e+01,6.236885855673160103e-03
6.500000000000000000e+01,6.152204676365304568e-03
6.600000000000000000e+01,6.071340533364589197e-03
6.700000000000000000e+01,5.994038627087556505e-03
6.800000000000000000e+01,5.920067523391494418e-03
6.900000000000000000e+01,5.849216575923498959e-03
7.000000000000000000e+01,5.781292610545767964e-03
7.100000000000000000e+01,5.716117262823853552e-03
7.200000000000000000e+01,5.653525783479476999e-03
7.300000000000000000e+01,5.593366670599349277e-03
7.400000000000000000e+01,5.535500910512777643e-03
7.500000000000000000e+01,5.479800390474793940e-03
7.600000000000000000e+01,1.761473705768623610e-03
