step,dt
1.000000000000000000e+00,5.923012720968606065e-03
2.000000000000000000e+00,6.324548663516578635e-03
3.000000000000000000e+00,6.383897866182983334e-03
4.000000000000000000e+00,6.497949994150816616e-03
5.000000000000000000e+00,6.637495791477344802e-03
6.000000000000000000e+00,6.819763137268056684e-03
7.000000000000000000e+00,7.049163373092873219e-03
8.000000000000000000e+00,7.319821230826153123e-03
9.000000000000000000e+00,7.615249146775656015e-03
1.000000000000000000e+01,7.908391517746703875e-03
1.100000000000000000e+01,8.191101200462657869e-03
1.200000000000000000e+01,8.463012674602138699e-03
1.300000000000000000e+01,8.763179955577403077e-03
1.400000000000000000e+01,9.062218312190202865e-03
1.500000000000000000e+01,9.368890615003596170e-03
1.600000000000000000e+01,9.686260203777207270e-03
1.700000000000000000e+01,1.001145790037618298e-02
1.800000000000000000e+01,1.028383945135304123e-02
1.900000000000000000e+01,1.026248786106342958e-02
2.000000000000000000e+01,1.024123158318348409e-02
2.100000000000000000e+01,1.022007045677288638e-02
2.200000000000000000e+01,1.019900430338853935e-02
2.300000000000000000e+01,1.017803293128243490e-02
2.400000000000000000e+01,1.015700409072966756e-02
2.500000000000000000e+01,1.013598475495893630e-02
2.600000000000000000e+01,1.011505947612158403e-02
2.700000000000000000e+01,1.009422789992995943e-02
2.800000000000000000e+01,1.007348967009046373e-02
2.900000000000000000e+01,1.005284443162082070e-02
3.000000000000000000e+01,1.003229183415422186e-02
3.100000000000000000e+01,1.001183153526855399e-02
3.200000000000000000e+01,9.991463203880675270e-03
3.300000000000000000e+01,9.971186523747802011e-03
3.400000000000000000e+01,9.951001197120846672e-03
3.500000000000000000e+01,9.930668383991089060e-03
3.600000000000000000e+01,9.910422776227376107e-03
3.700000000000000000e+01,9.890266456399995909e-03
3.800000000000000000e+01,9.870199011653363677e-03
3.900000000000000000e+01,9.850220054870090919e-03
4.000000000000000000e+01,9.830329228864172902e-03
4.100000000000000000e+01,9.810526210980696424e-03
4.200000000000000000e+01,9.790810718174523808e-03
4.300000000000000000e+01,9.771182512649662089e-03
4.400000000000000000e+01,9.751641408152045276e-03
4.500000000000000000e+01,9.732039784547731956e-03
4.600000000000000000e+01,9.712419084306001330e-03
4.700000000000000000e+01,9.692882262447070907e-03
4.800000000000000000e+01,9.673429041357912636e-03
4.900000000000000000e+01,9.654059207906644582e-03
5.000000000000000000e+01,9.634772622533139402e-03
5.100000000000000000e+01,9.615569229609349788e-03
5.200000000000000000e+01,9.596449069275607771e-03
5.300000000000000000e+01,9.577412290995410485e-03
5.400000000000000000e+01,9.558459169114526255e-03
5.500000000000000000e+01,9.539431126687682172e-03
5.600000000000000000e+01,9.520369498495074093e-03
5.700000000000000000e+01,9.187378269540890860e-03
5.800000000000000000e+01,9.483097628753515626e-03
5.900000000000000000e+01,9.464281049080416550e-03
6.000000000000000000e+01,9.445545102298150489e-03
6.100000000000000000e+01,9.426890634926261142e-03
6.200000000000000000e+01,9.408318749708335926e-03
6.300000000000000000e+01,5.914223677789295745e-03
6.400000000000000000e+01,9.377892270826661963e-03
6.500000000000000000e+01,9.359341820558303784e-03
6.600000000000000000e+01,9.340872983159304033e-03
6.700000000000000000e+01,9.322487721305582065e-03
6.800000000000000000e+01,7.599837324815297834e-03
6.900000000000000000e+01,8.592348103610052482e-03
7.000000000000000000e+01,9.272160682184006977e-03
7.100000000000000000e+01,9.253839913402847964e-03
7.200000000000000000e+01,9.235605301358992478e-03
7.300000000000000000e+01,9.217460857794677540e-03
7.400000000000000000e+01,9.199411478497843131e-03
7.500000000000000000e+01,7.196294892063011782e-03
7.600000000000000000e+01,8.413907592479839478e-03
7.700000000000000000e+01,9.150494455760611878e-03
7.800000000000000000e+01,9.132522737161025486e-03
7.900000000000000000e+01,9.114660502727961813e-03
8.000000000000000000e+01,9.096918042633390586e-03
8.100000000000000000e+01,9.079226655126131432e-03
8.200000000000000000e+01,6.973134399063623916e-03
8.300000000000000000e+01,8.202535163878818883e-03
8.400000000000000000e+01,9.031442219183026532e-03
8.500000000000000000e+01,9.013987445271237631e-03
8.600000000000000000e+01,8.996353540705168475e-03
8.700000000000000000e+01,8.978589899141580996e-03
8.800000000000000000e+01,8.960985590687135793e-03
8.900000000000000000e+01,6.017712922283480204e-03
9.000000000000000000e+01,6.958910357752043710e-03
9.100000000000000000e+01,8.918333862021149416e-03
9.200000000000000000e+01,8.901098375111502273e-03
9.300000000000000000e+01,8.884141154697461351e-03
9.400000000000000000e+01,4.790457845442368592e-03
9.500000000000000000e+01,8.857537560228041437e-03
9.600000000000000000e+01,8.840854019730228289e-03
9.700000000000000000e+01,8.823905015763546661e-03
9.800000000000000000e+01,8.806763799504827364e-03
9.900000000000000000e+01,6.298891280086877341e-03
1.000000000000000000e+02,8.290679821601686442e-03
1.010000000000000000e+02,8.762482386326148412e-03
1.020000000000000000e+02,8.604017144757497917e-03
1.030000000000000000e+02,8.730826668377761682e-03
1.040000000000000000e+02,8.713995828906048388e-03
1.050000000000000000e+02,8.697954293937985859e-03
1.060000000000000000e+02,4.580784151353599863e-03
1.070000000000000000e+02,6.756848995315925359e-03
1.080000000000000000e+02,8.662301725099370159e-03
1.090000000000000000e+02,4.811232574379596325e-03
1.100000000000000000e+02,8.638465538115668030e-03
1.110000000000000000e+02,8.622835385744735334e-03
1.120000000000000000e+02,8.285630392645366299e-03
1.130000000000000000e+02,8.594127087771267701e-03
1.140000000000000000e+02,1.797140449650846961e-03
