z,reference_u0,reference_u1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.256637061435917128e-04,9.881312916824930884e-324,4.940656458412465442e-324
2.513274122871834255e-04,1.976262583364986177e-323,9.881312916824930884e-324
3.769911184307751383e-04,2.964393875047479265e-323,1.482196937523739633e-323
5.026548245743668510e-04,3.952525166729972353e-323,1.976262583364986177e-323
6.283185307179586180e-04,4.940656458412465442e-323,2.470328229206232721e-323
7.539822368615502765e-04,5.928787750094958530e-323,2.964393875047479265e-323
8.796459430051419351e-04,6.916919041777451618e-323,3.458459520888725809e-323
1.005309649148733702e-03,7.905050333459944707e-323,3.952525166729972353e-323
1.130973355292325469e-03,8.893181625142437795e-323,4.446590812571218898e-323
1.256637061435917236e-03,9.881312916824930884e-323,4.940656458412465442e-323
1.382300767579508786e-03,1.086944420850742397e-322,5.434722104253711986e-323
1.507964473723100553e-03,1.185757550018991706e-322,5.928787750094958530e-323
1.633628179866692320e-03,1.284570679187241015e-322,6.422853395936205074e-323
1.759291886010283870e-03,1.383383808355490324e-322,6.916919041777451618e-323
1.884955592153875637e-03,1.482196937523739633e-322,7.410984687618698163e-323
2.010619298297467404e-03,1.581010066691988941e-322,7.905050333459944707e-323
2.136283004441059171e-03,1.679823195860238250e-322,8.399115979301191251e-323
2.261946710584650938e-03,1.778636325028487559e-322,8.893181625142437795e-323
2.387610416728242705e-03,1.877449454196736868e-322,9.387247270983684339e-323
2.513274122871834472e-03,1.976262583364986177e-322,9.881312916824930884e-323
2.638937829015425805e-03,2.075075712533235486e-322,1.037537856266617743e-322
2.764601535159017572e-03,2.173888841701484794e-322,1.086944420850742397e-322
2.890265241302609339e-03,2.272701970869734103e-322,1.136350985434867052e-322
3.015928947446201106e-03,2.371515100037983412e-322,1.185757550018991706e-322
3.141592653589792873e-03,2.470328229206232721e-322,1.235164114603116360e-322
3.267256359733384640e-03,2.569141358374482030e-322,1.284570679187241015e-322
3.392920065876976407e-03,2.667954487542731339e-322,1.333977243771365669e-322
3.518583772020567740e-03,2.766767616710980647e-322,1.383383808355490324e-322
3.644247478164159507e-03,2.865580745879229956e-322,1.432790372939614978e-322
3.769911184307751274e-03,2.964393875047479265e-322,1.482196937523739633e-322
3.895574890451343041e-03,3.063207004215728574e-322,1.531603502107864287e-322
4.021238596594934808e-03,3.162020133383977883e-322,1.581010066691988941e-322
4.146902302738526142e-03,3.260833262552227192e-322,1.630416631276113596e-322
4.272566008882118342e-03,3.359646391720476500e-322,1.679823195860238250e-322
4.398229715025709675e-03,3.458459520888725809e-322,1.729229760444362905e-322
4.523893421169301876e-03,3.557272650056975118e-322,1.778636325028487559e-322
4.649557127312893209e-03,3.656085779225224427e-322,1.828042889612612213e-322
4.775220833456485410e-03,3.754898908393473736e-322,1.877449454196736868e-322
4.900884539600076743e-03,3.853712037561723045e-322,1.926856018780861522e-322
5.026548245743668944e-03,3.952525166729972353e-322,1.976262583364986177e-322
5.152211951887260277e-03,4.051338295898221662e-322,2.025669147949110831e-322
5.277875658030851611e-03,4.150151425066470971e-322,2.075075712533235486e-322
5.403539364174443811e-03,4.248964554234720280e-322,2.124482277117360140e-322
5.529203070318035144e-03,4.347777683402969589e-322,2.173888841701484794e-322
5.654866776461627345e-03,4.446590812571218898e-322,2.223295406285609449e-322
5.780530482605218678e-03,4.545403941739468206e-322,2.272701970869734103e-322
5.906194188748810879e-03,4.644217070907717515e-322,2.322108535453858758e-322
6.031857894892402212e-03,4.743030200075966824e-322,2.371515100037983412e-322
6.157521601035993546e-03,4.841843329244216133e-322,2.420921664622108066e-322
6.283185307179585746e-03,4.940656458412465442e-322,2.470328229206232721e-322
6.408849013323177080e-03,5.039469587580714751e-322,2.519734793790357375e-322
6.534512719466769280e-03,5.138282716748964059e-322,2.569141358374482030e-322
6.660176425610360613e-03,5.237095845917213368e-322,2.618547922958606684e-322
6.785840131753952814e-03,5.335908975085462677e-322,2.667954487542731339e-322
6.911503837897544147e-03,5.434722104253711986e-322,2.717361052126855993e-322
7.037167544041135481e-03,5.533535233421961295e-322,2.766767616710980647e-322
7.162831250184727681e-03,5.632348362590210604e-322,2.816174181295105302e-322
7.288494956328319015e-03,5.731161491758459912e-322,2.865580745879229956e-322
7.414158662471911215e-03,5.829974620926709221e-322,2.914987310463354611e-322
7.539822368615502549e-03,5.928787750094958530e-322,2.964393875047479265e-322
7.665486074759094749e-03,6.027600879263207839e-322,3.013800439631603919e-322
7.791149780902686083e-03,6.126414008431457148e-322,3.063207004215728574e-322
7.916813487046278283e-03,6.225227137599706457e-322,3.112613568799853228e-322
8.042477193189869616e-03,6.324040266767955765e-322,3.162020133383977883e-322
8.168140899333460950e-03,6.422853395936205074e-322,3.211426697968102537e-322
8.293804605477052283e-03,6.521666525104454383e-322,3.260833262552227192e-322
8.419468311620645351e-03,6.620479654272703692e-322,3.310239827136351846e-322
8.545132017764236684e-03,6.719292783440953001e-322,3.359646391720476500e-322
8.670795723907828018e-03,6.818105912609202310e-322,3.409052956304601155e-322
8.796459430051419351e-03,6.916919041777451618e-322,3.458459520888725809e-322
8.922123136195012419e-03,7.015732170945700927e-322,3.507866085472850464e-322
9.047786842338603752e-03,7.114545300113950236e-322,3.557272650056975118e-322
9.173450548482195085e-03,7.213358429282199545e-322,3.606679214641099772e-322
9.299114254625786419e-03,7.312171558450448854e-322,3.656085779225224427e-322
9.424777960769377752e-03,7.410984687618698163e-322,3.705492343809349081e-322
9.550441666912970820e-03,7.509797816786947471e-322,3.754898908393473736e-322
9.676105373056562153e-03,7.608610945955196780e-322,3.804305472977598390e-322
9.801769079200153487e-03,7.707424075123446089e-322,3.853712037561723045e-322
