z,hybrid_u0,hybrid_u1
8.639758413539384146e-03,0.000000000000000000e+00,-8.965153292121498280e-05
4.573684719403711685e-02,0.000000000000000000e+00,-1.238065262983757979e-04
7.184220596549850679e-02,0.000000000000000000e+00,-1.693921938941847320e-04
1.044739044298252512e-01,0.000000000000000000e+00,-2.383566381663344803e-04
1.371056028941519123e-01,0.000000000000000000e+00,-3.245315748331797814e-04
1.646612593751389242e-01,0.000000000000000000e+00,-4.144359273318551297e-04
1.991058299763728001e-01,0.000000000000000000e+00,-5.479649289442036376e-04
2.281923562618591583e-01,0.000000000000000000e+00,-6.860616906373185643e-04
2.657079632679492653e-01,3.322123087910928009e-19,-8.962068622487517596e-04
2.971238898038471854e-01,2.045140091409950847e-18,-1.111178280580298787e-03
3.285398163397451610e-01,1.260454277539424120e-17,-1.363858760033450582e-03
3.599557428756431920e-01,7.714386848948770944e-17,-1.658773320185812430e-03
3.913716694115411121e-01,4.590166893323822990e-16,-2.000638858509338168e-03
4.227875959474388656e-01,2.583037227957037183e-15,-2.394303435894720462e-03
4.542035224833366747e-01,1.343263377415064848e-14,-2.844669804866511737e-03
4.856194490192345392e-01,6.367568572384851816e-14,-3.356601969231344778e-03
5.170353755551324593e-01,2.737358643529069252e-13,-3.934813795555519578e-03
5.484513020910304348e-01,1.067744976151355740e-12,-4.583739000683983988e-03
5.798672286269286325e-01,3.793082624015784046e-12,-5.307382218973919104e-03
6.112831551628268301e-01,1.233618589490585810e-11,-6.109151309576963187e-03
6.426990816987250277e-01,3.694527183919149752e-11,-6.991671597200900361e-03
6.741150082346234473e-01,1.024898285960442003e-10,-7.956583345866453244e-03
7.055309347705218670e-01,2.648615888843680699e-10,-9.004324437783393920e-03
7.369468613064198426e-01,6.410813373575039071e-10,-1.013390095884767785e-02
7.683627878423178181e-01,1.460670030263314762e-09,-1.134264916515997229e-02
7.997787143782157937e-01,3.147552862840334607e-09,-1.262599310453663484e-02
8.311946409141135472e-01,6.442708725368492815e-09,-1.397720297278050479e-02
8.626105674500116338e-01,1.257759457791214518e-08,-1.538716007258522991e-02
8.940264939859094984e-01,2.350703203830309153e-08,-1.684413498625949787e-02
9.254424205218074739e-01,4.220816885633770058e-08,-1.833358624211448018e-02
9.568583470577054495e-01,7.305018263043972141e-08,-1.983798731634044826e-02
9.882742735936032030e-01,1.222386679339811142e-07,-2.133669023411059046e-02
1.019690200129500957e+00,1.983401257171173811e-07,-2.280583428165721543e-02
1.051106126665398932e+00,3.128961951015488915e-07,-2.421830838202304256e-02
1.082522053201296908e+00,4.811441144200015783e-07,-2.554377548990307070e-02
1.113937979737194883e+00,7.228685983993088115e-07,-2.674876689762728521e-02
