z,mol_u0,mol_u1
1.570796326794896697e-02,2.518298353163464204e-25,-4.280078800510865806e-05
4.712388980384690090e-02,1.339932149058420928e-23,-7.841567717527324040e-05
7.853981633974482790e-02,3.507840767914208617e-22,-1.246478104548019033e-04
1.099557428756427757e-01,6.027336968362859783e-21,-1.836551831895237065e-04
1.413716694115406958e-01,7.651276273176070600e-20,-2.578949318479478118e-04
1.727875959474386158e-01,7.658955566044214022e-19,-3.501408219530778988e-04
2.042035224833365636e-01,6.301889147333327522e-18,-4.634968520403273261e-04
2.356194490192345115e-01,4.387471130903531252e-17,-6.014056931221742992e-04
2.670353755551324593e-01,2.640754788556725225e-16,-7.676505479239258871e-04
2.984513020910303793e-01,1.397181186070288157e-15,-9.663488942482029512e-04
3.298672286269282994e-01,6.585802097230007487e-15,-1.201936479474750505e-03
3.612831551628262750e-01,2.796443252632189525e-14,-1.479139866321835424e-03
3.926990816987241950e-01,1.079714992046406489e-13,-1.802935802002433733e-03
4.241150082346221151e-01,3.821330962600840390e-13,-2.178495702501951053e-03
4.555309347705200906e-01,1.248461118032778220e-12,-2.611113619595981702e-03
4.869468613064180107e-01,3.788671206799201015e-12,-3.106116198819583538e-03
5.183627878423159308e-01,1.073881074674666310e-11,-3.668753349621671749e-03
5.497787143782139063e-01,2.857240352478573934e-11,-4.304068641036624260e-03
5.811946409141117709e-01,7.168338620026189454e-11,-5.016748812511734670e-03
6.126105674500097464e-01,1.702774168951384244e-10,-5.810952253207084077e-03
6.440264939859076110e-01,3.844130053674728836e-10,-6.690116854873555050e-03
6.754424205218055866e-01,8.276509643371901927e-10,-7.656748281190065702e-03
7.068583470577035621e-01,1.704891928660836783e-09,-8.712190414803160435e-03
7.382742735936014267e-01,3.370079224447897649e-09,-9.856380533232230595e-03
7.696902001294994022e-01,6.410367913213307640e-09,-1.108759261333958426e-02
8.011061266653973778e-01,1.176398256146535746e-08,-1.240217305417535242e-02
8.325220532012952424e-01,2.087925447893685283e-08,-1.379427401848177387e-02
8.639379797371932179e-01,3.592231327277857587e-08,-1.525559049866404698e-02
8.953539062730911935e-01,6.004081580671759888e-08,-1.677510808441036450e-02
9.267698328089890580e-01,9.769125255693628466e-08,-1.833886921369031614e-02
9.581857593448870336e-01,1.550381548884201594e-07,-1.992976639099349953e-02
9.896016858807848982e-01,2.404352793556891208e-07,-2.152737141868163104e-02
1.021017612416682763e+00,3.650017836140141391e-07,-2.310781007036778745e-02
1.052433538952580738e+00,5.433105609405515578e-07,-2.464369180050023089e-02
1.083849465488478714e+00,7.942110900623605237e-07,-2.610410399443119367e-02
1.115265392024376467e+00,1.141815040248263183e-06,-2.745467988378872543e-02
1.146681318560274443e+00,1.616679017898786795e-06,-2.865774855322111500e-02
1.178097245096172418e+00,2.257224831823051896e-06,-2.967257442333134237e-02
1.209513171632070394e+00,3.111443172935945452e-06,-3.045569219602310695e-02
1.240929098167968370e+00,4.238931489200719242e-06,-3.096134148793581661e-02
1.272345024703866123e+00,5.713321091209795195e-06,-3.114200326255832027e-02
1.303760951239764099e+00,7.625152277537649781e-06,-3.094903772295991631e-02
1.335176877775662074e+00,1.008525970999730007e-05,-3.033342058068646055e-02
1.366592804311560050e+00,1.322873356458862973e-05,-2.924657162374917629e-02
1.398008730847458025e+00,1.721952521147516359e-05,-2.764126633526908447e-02
1.429424657383356001e+00,2.225576927840741708e-05,-2.547261804731604934e-02
1.460840583919253755e+00,2.857589671713431668e-05,-2.269911484933886253e-02
1.492256510455151730e+00,3.646561557266044223e-05,-1.928369231731447142e-02
1.523672436991049706e+00,4.626583709311931378e-05,-1.519482020791397200e-02
1.555088363526947681e+00,5.838162408595170188e-05,-1.040757869693688387e-02
1.586504290062845657e+00,7.329223546365026191e-05,-4.904697659537516144e-03
1.617920216598743410e+00,9.156233516592455720e-05,1.322468986234100067e-03
1.649336143134641386e+00,1.138544245472225975e-04,8.273062608866628420e-03
1.680752069670539361e+00,1.409425443583892231e-04,1.593596154527227027e-02
1.712167996206437337e+00,1.737272751404384940e-04,2.428917286879380549e-02
