step,dt
1.000000000000000000e+00,5.848148503042629315e-03
2.000000000000000000e+00,6.399074785139890857e-03
3.000000000000000000e+00,6.444134992777159759e-03
4.000000000000000000e+00,6.613971671838500370e-03
5.000000000000000000e+00,6.801895505015290513e-03
6.000000000000000000e+00,7.032272657953851994e-03
7.000000000000000000e+00,7.311952043266073918e-03
8.000000000000000000e+00,7.587213100584347912e-03
9.000000000000000000e+00,7.891479032036734231e-03
1.000000000000000000e+01,8.151273635621540323e-03
1.100000000000000000e+01,8.268066231549317177e-03
1.200000000000000000e+01,8.655033637219762543e-03
1.300000000000000000e+01,8.737822976803243449e-03
1.400000000000000000e+01,9.093695185377299178e-03
1.500000000000000000e+01,9.133209672407304955e-03
1.600000000000000000e+01,9.301109272445090906e-03
1.700000000000000000e+01,9.662455479779378034e-03
1.800000000000000000e+01,9.479590077209196913e-03
1.900000000000000000e+01,9.798073524308555798e-03
2.000000000000000000e+01,9.872276332810936070e-03
2.100000000000000000e+01,9.751609220800804348e-03
2.200000000000000000e+01,9.825228528340265721e-03
2.300000000000000000e+01,9.983646405418903844e-03
2.400000000000000000e+01,8.282333253401639311e-03
2.500000000000000000e+01,9.482769500303356303e-03
2.600000000000000000e+01,9.509996883160419523e-03
2.700000000000000000e+01,9.136558509137825135e-03
2.800000000000000000e+01,9.253204286444431659e-03
2.900000000000000000e+01,9.605567575216914650e-03
3.000000000000000000e+01,9.870394060335029723e-03
3.100000000000000000e+01,9.980647171906744525e-03
3.200000000000000000e+01,1.028556208509249538e-02
3.300000000000000000e+01,1.060608694925786917e-02
3.400000000000000000e+01,1.002136015155536373e-02
3.500000000000000000e+01,1.055055544854995898e-02
3.600000000000000000e+01,1.093266807912961734e-02
3.700000000000000000e+01,7.671692333953736981e-03
3.800000000000000000e+01,8.865899347386393958e-03
3.900000000000000000e+01,1.007954926608707266e-02
4.000000000000000000e+01,9.111947528199916546e-03
4.100000000000000000e+01,1.001465952664708399e-02
4.200000000000000000e+01,1.014357434653253773e-02
4.300000000000000000e+01,1.018530231420836270e-02
4.400000000000000000e+01,1.109402702653315004e-02
4.500000000000000000e+01,1.119620196054247480e-02
4.600000000000000000e+01,1.053118289821125195e-02
4.700000000000000000e+01,9.982152250347438305e-03
4.800000000000000000e+01,9.028311068488115154e-03
4.900000000000000000e+01,1.106543129260994726e-02
5.000000000000000000e+01,8.392020821103815184e-03
5.100000000000000000e+01,1.052207150222682006e-02
5.200000000000000000e+01,1.070236615932474225e-02
5.300000000000000000e+01,1.087583642001276225e-02
5.400000000000000000e+01,1.068162401487199493e-02
5.500000000000000000e+01,1.051729080112935415e-02
5.600000000000000000e+01,1.039242986147185382e-02
5.700000000000000000e+01,1.029054211656774132e-02
5.800000000000000000e+01,1.021073059371419359e-02
5.900000000000000000e+01,1.015386014509263649e-02
6.000000000000000000e+01,1.010452724377408282e-02
6.100000000000000000e+01,1.006935963981867715e-02
6.200000000000000000e+01,1.004694300392804281e-02
6.300000000000000000e+01,1.002710842022280432e-02
6.400000000000000000e+01,1.001266408939962063e-02
6.500000000000000000e+01,1.000514902842765223e-02
6.600000000000000000e+01,9.991461438455518512e-03
6.700000000000000000e+01,9.995132410373424800e-03
6.800000000000000000e+01,8.697438291272105437e-03
6.900000000000000000e+01,9.994447183337513627e-03
7.000000000000000000e+01,9.992651155532925045e-03
7.100000000000000000e+01,9.990950564548187890e-03
7.200000000000000000e+01,9.991922308397908209e-03
7.300000000000000000e+01,9.995467312767087470e-03
7.400000000000000000e+01,9.993886666077112305e-03
7.500000000000000000e+01,9.087733841546298541e-03
7.600000000000000000e+01,9.995551859947531675e-03
7.700000000000000000e+01,8.788553212297232908e-03
7.800000000000000000e+01,9.915740190860604375e-03
7.900000000000000000e+01,8.473568413704474223e-03
8.000000000000000000e+01,9.433162117553258938e-03
8.100000000000000000e+01,7.937484459252673943e-03
8.200000000000000000e+01,9.574046722115817781e-03
8.300000000000000000e+01,8.283646917079123123e-03
8.400000000000000000e+01,9.012096289228393661e-03
8.500000000000000000e+01,6.833545279053546660e-03
8.600000000000000000e+01,9.578958753624831207e-03
8.700000000000000000e+01,7.015774043187826374e-03
8.800000000000000000e+01,9.480495549902040811e-03
8.900000000000000000e+01,6.956075012538869180e-03
9.000000000000000000e+01,9.253341229916483418e-03
9.100000000000000000e+01,6.975666717911267918e-03
9.200000000000000000e+01,7.918395149913824357e-03
9.300000000000000000e+01,8.340425756471247024e-03
9.400000000000000000e+01,8.966794092835076585e-03
9.500000000000000000e+01,6.535035332302136131e-03
9.600000000000000000e+01,9.239907164113755900e-03
9.700000000000000000e+01,6.647849269393666174e-03
9.800000000000000000e+01,9.136795571313303596e-03
9.900000000000000000e+01,6.691406097596227544e-03
1.000000000000000000e+02,9.032675586844908164e-03
1.010000000000000000e+02,7.495967223150954394e-03
1.020000000000000000e+02,8.337890720478993017e-03
1.030000000000000000e+02,6.155123467554767663e-03
1.040000000000000000e+02,8.848575450208322896e-03
1.050000000000000000e+02,6.034067594782518106e-03
1.060000000000000000e+02,8.984161794886522112e-03
1.070000000000000000e+02,5.983769033254772961e-03
1.080000000000000000e+02,8.991191940650695297e-03
1.090000000000000000e+02,5.991408022663955064e-03
1.100000000000000000e+02,8.982488461832804916e-03
1.110000000000000000e+02,5.311882883197061034e-03
