z,hybrid_u0,hybrid_u1,hybrid_u2
3.642683340813986266e-03,-1.234548094772113360e-05,3.731058728058580804e-10,-1.234585405359394703e-05
6.017928975908859446e-02,-2.335674109777632229e-04,1.665523674849410887e-08,-2.335840662145117705e-04
8.844759296822590766e-02,-3.832355286985972167e-04,6.042618923403835184e-08,-3.832959548878315343e-04
1.167158961773632070e-01,-5.586438719470637575e-04,1.883081685052804533e-07,-5.588321801155692612e-04
1.449841993865004786e-01,-7.588396485391542138e-04,5.285686187622079879e-07,-7.593682171579169311e-04
1.732525025956378195e-01,-9.820490101615857951e-04,1.366546487007718303e-06,-9.834155566485936091e-04
2.015208058047751327e-01,-1.225602532324509240e-03,3.295697103543476486e-06,-1.228898229428052914e-03
2.297891090139123904e-01,-1.485679116971007482e-03,7.474232981636828639e-06,-1.493153349952644655e-03
2.580574122230496759e-01,-1.756835486112605892e-03,1.602577138029353661e-05,-1.772861257492900191e-03
2.863257154321868780e-01,-2.031347807070096705e-03,3.260470560473971826e-05,-2.063952512674836585e-03
3.428623218504612824e-01,-2.565535932747908723e-03,9.359208578019409942e-05,-2.659128018528103717e-03
3.711306250595984846e-01,-2.788606098243923311e-03,1.696187725977793331e-04,-2.958224870841703186e-03
3.993989282687356313e-01,-2.951645303210284274e-03,2.931689821096400417e-04,-3.244814285319924749e-03
4.276672314778728334e-01,-3.026460844340005379e-03,4.839348736650714864e-04,-3.510395718005077190e-03
4.559355346870099801e-01,-2.981273864829674450e-03,7.641529008996486485e-04,-3.745426765729322881e-03
4.842038378961472378e-01,-2.782834536252653916e-03,1.156437891111402076e-03,-3.939272427364057076e-03
5.124721411052844955e-01,-2.399064443389105176e-03,1.681104194280079759e-03,-4.080168637669185153e-03
5.407404443144219197e-01,-1.801475822922838678e-03,2.353725025820533300e-03,-4.155200848743370243e-03
5.690087475235593439e-01,-9.665429555351790067e-04,3.183755219859033675e-03,-4.150298175394210622e-03
6.255453539418341924e-01,1.215480105274890270e-03,5.165669204084122335e-03,-3.950189098809229679e-03
6.538136571509717276e-01,2.849680575494021196e-03,6.476838978440177357e-03,-3.627158402946152691e-03
6.820819603601091519e-01,4.784546279584093488e-03,7.942362937199781009e-03,-3.157816657615683184e-03
7.103502635692465761e-01,7.036603216651535903e-03,9.559328075162621535e-03,-2.522724858511076959e-03
7.378333361336856244e-01,9.553643711767065977e-03,1.127804225048513811e-02,-1.724398538718063681e-03
7.676874755630779257e-01,1.265641267704677338e-02,1.330099199990432066e-02,-6.445793228575331848e-04
8.157079632679503645e-01,1.833187336554991873e-02,1.683031927895201063e-02,1.501554022413402511e-03
8.471238898038483400e-01,2.281236052964797853e-02,1.943210504586419252e-02,3.380255298132141348e-03
8.785398163397463156e-01,2.784369364416187931e-02,2.222726607465854570e-02,5.616427031905079498e-03
9.099557428756442912e-01,3.345585120096461473e-02,2.521487866833201780e-02,8.240970970327041178e-03
9.413716694115423778e-01,3.967665747391108805e-02,2.839227386980953602e-02,1.128437903578738757e-02
9.727875959474403533e-01,4.653128991004040066e-02,3.175493903308567595e-02,1.477633745528497689e-02
1.004203522483338551e+00,5.404178141400089314e-02,3.529643679255303063e-02,1.874530536790064081e-02
1.035619449019236527e+00,6.222652477920621872e-02,3.900834218755253741e-02,2.321807013286458429e-02
1.067035375555134280e+00,7.109978704244365733e-02,4.288019660692844043e-02,2.821928029399955670e-02
1.098451302091032256e+00,8.067124195150728039e-02,4.689947461571606496e-02,3.377095540725313233e-02
1.129867228626930009e+00,9.094552902048770593e-02,5.105155771253267610e-02,3.989197079118985551e-02
1.161283155162827985e+00,1.019218477887084695e-01,5.531970944968490206e-02,4.659751650779776766e-02
1.192699081698725738e+00,1.135935958830532611e-01,5.968505087574922652e-02,5.389853525306715493e-02
1.224115008234623714e+00,1.259480592982199776e-01,6.412654435553520604e-02,6.180115373870250645e-02
1.255530934770521689e+00,1.389661629468621762e-01,6.862100555275651992e-02,7.030613462734058849e-02
1.286946861306419887e+00,1.526222889866879207e-01,7.314317349420927650e-02,7.940838689278223450e-02
1.318362787842317863e+00,1.668841697031918092e-01,7.766587212093324644e-02,8.909657654549728301e-02
1.349778714378215838e+00,1.817128608177425997e-01,8.216029006294391090e-02,9.935287346518775764e-02
1.381194640914113592e+00,1.970628000084971854e-01,8.659638859785957765e-02,1.101528536475901709e-01
1.412610567450011567e+00,2.128819541877898236e-01,9.094342498065811908e-02,1.214655535968743594e-01
1.444026493985909543e+00,2.291120576904789319e-01,9.517055634007211273e-02,1.332536516423720174e-01
1.475442420521807296e+00,2.456889420138588520e-01,9.924747491098794006e-02,1.454737364017198720e-01
1.506858347057705272e+00,2.625429561359948760e-01,1.031450226541655718e-01,1.580766195856017076e-01
1.538274273593603247e+00,2.795994747544488512e-01,1.068357423772918618e-01,1.710076589091337196e-01
1.569690200129501223e+00,2.967794900634990740e-01,1.102943396285100547e-01,1.842070733530269955e-01
1.601106126665399199e+00,3.140002809601644684e-01,1.134980491534162694e-01,1.976102516737104908e-01
1.632522053201297174e+00,3.311761518748642663e-01,1.164269160271151488e-01,2.111480703390097857e-01
1.663937979737195150e+00,3.482192318001004483e-01,1.190640110665957541e-01,2.247472453464016140e-01
1.695353906273093125e+00,3.650403225793671380e-01,1.213956018430984996e-01,2.383307427254065802e-01
1.726769832808990879e+00,3.815497841575438698e-01,1.234112959532180087e-01,2.518182663556686740e-01
1.758185759344888854e+00,3.976584433208888436e-01,1.251041649309984349e-01,2.651268318287563486e-01
1.789601685880786608e+00,4.132785115047473146e-01,1.264708482539543544e-01,2.781714244323280627e-01
1.821017612416684583e+00,4.283244965522196579e-01,1.275116296027885843e-01,2.908657302572233982e-01
1.852433538952582559e+00,4.427140928950136778e-01,1.282304730898900791e-01,3.031229231645918842e-01
1.883849465488480535e+00,4.563690345211112165e-01,1.286350057520113110e-01,3.148564871112933261e-01
1.915265392024378288e+00,4.692158953092270268e-01,1.287364336657602637e-01,3.259810526104697792e-01
1.946681318560276264e+00,4.811868218571668243e-01,1.285493817270840777e-01,3.364132270729771057e-01
1.978097245096174239e+00,4.922201848125828394e-01,1.280916505827371654e-01,3.460724006157193666e-01
2.009513171632071771e+00,5.022611359250711560e-01,1.273838877613960863e-01,3.548815110194569744e-01
2.040929098167969968e+00,5.112620595648037503e-01,1.264491733378322880e-01,3.627677535193852276e-01
2.072345024703868166e+00,5.191829092737016982e-01,1.253125233206609790e-01,3.696632228946761245e-01
2.103760951239766364e+00,5.259914220013497399e-01,1.240003163838114958e-01,3.755054769192407438e-01
2.135176877775664561e+00,5.316632049927297876e-01,1.225396516412612102e-01,3.802380117486128808e-01
2.166592804311562759e+00,5.361816927947464784e-01,1.209576469861645548e-01,3.838106413612851764e-01
2.198008730847460956e+00,5.395379744835295810e-01,1.192806891514567452e-01,3.861797748359186433e-01
2.229424657383359154e+00,5.417304939295696231e-01,1.175336481378963516e-01,3.873085870782686513e-01
2.260840583919257352e+00,5.427646286536278453e-01,1.157390700034254954e-01,3.871670806244861818e-01
2.292256510455155549e+00,5.426521555211401004e-01,1.139163631965007667e-01,3.857320383210123271e-01
2.323672436991053747e+00,5.414106141131342920e-01,1.120809946130063989e-01,3.829868689747458199e-01
2.355088363526951944e+00,5.390625810343441238e-01,1.102437123228735549e-01,3.789213504269686728e-01
2.386504290062850142e+00,5.356348706127710413e-01,1.084098124101591787e-01,3.735312768706419151e-01
2.417920216598747896e+00,5.311576793513191896e-01,1.065784675647821755e-01,3.668180195407648725e-01
2.449336143134646093e+00,5.256636930580438349e-01,1.047421349274138547e-01,3.587880120994742517e-01
