z,mol_u0,mol_u1,mol_u2
1.570796326794896697e-02,-4.652108047692660314e-06,4.930347296129366839e-11,-4.652157351165621293e-06
4.712388980384690090e-02,-2.985007132499160160e-05,9.491921555307644636e-10,-2.985102051714714057e-05
7.853981633974482790e-02,-9.832506872505687300e-05,9.157473188612638781e-09,-9.833422619824548866e-05
1.099557428756427757e-01,-2.268763842048164407e-04,5.909773471780384242e-08,-2.269354819395342821e-04
1.413716694115406958e-01,-4.192342446427162325e-04,2.873327653397284946e-07,-4.195215774080560578e-04
1.727875959474386158e-01,-6.687869209449513654e-04,1.123959083210737214e-06,-6.699108800281624448e-04
2.042035224833365636e-01,-9.647767142842162812e-04,3.689056985889875975e-06,-9.684657712701082773e-04
2.356194490192345115e-01,-1.295937570673161548e-03,1.046299158238945790e-05,-1.306400562255567504e-03
2.670353755551324593e-01,-1.650535718560485268e-03,2.621168263640036560e-05,-1.676747401197006306e-03
2.984513020910303793e-01,-2.014550278083401293e-03,5.900235267424623365e-05,-2.073552630758440044e-03
3.298672286269282994e-01,-2.369772020972385311e-03,1.210047922883806902e-04,-2.490776813265406942e-03
3.612831551628262750e-01,-2.692764473008256096e-03,2.287273557671765903e-04,-2.921491828799897654e-03
3.926990816987241950e-01,-2.954965095581546519e-03,4.024443838876449911e-04,-3.357409479586304698e-03
4.241150082346221151e-01,-3.123805029437412041e-03,6.648123017180016881e-04,-3.788617331668329286e-03
4.555309347705200906e-01,-3.164471440639771930e-03,1.038946635384502834e-03,-4.203418078093046351e-03
4.869468613064180107e-01,-3.041801445575032393e-03,1.546417445253979971e-03,-4.588218898557887629e-03
5.183627878423159308e-01,-2.721814520207581356e-03,2.205635879142985901e-03,-4.927450426233880541e-03
5.497787143782139063e-01,-2.172556714106836564e-03,3.030953516193923836e-03,-5.203510317759516349e-03
5.811946409141117709e-01,-1.364175826117728718e-03,4.032556101724376826e-03,-5.396732195065001049e-03
6.126105674500097464e-01,-2.683748468905151701e-04,5.217006910550122008e-03,-5.485382527144515123e-03
6.440264939859076110e-01,1.142472885114436450e-03,6.588159205242074754e-03,-5.445688417329725209e-03
6.754424205218055866e-01,2.896242262576404890e-03,8.148136035408841057e-03,-5.251899195168621692e-03
7.068583470577035621e-01,5.021773252385055772e-03,9.898144387180006151e-03,-4.876384476657431508e-03
7.382742735936014267e-01,7.549260970448948109e-03,1.183900068333393341e-02,-4.289771037717186528e-03
7.696902001294994022e-01,1.051029927790998048e-02,1.397134939492401459e-02,-3.461120469038948561e-03
8.011061266653973778e-01,1.393763033686329540e-02,1.629562800301157313e-02,-2.358149153846173570e-03
8.325220532012952424e-01,1.786468468520464870e-02,1.881186290233916036e-02,-9.474916326307370341e-04
8.639379797371932179e-01,2.232499654236320269e-02,2.151938014899729482e-02,8.049921206139158073e-04
8.953539062730911935e-01,2.735156119434069624e-02,2.441649621479718979e-02,2.933865610517701408e-03
9.267698328089890580e-01,3.297617821776140101e-02,2.750022996664863370e-02,5.473721763482311195e-03
9.581857593448870336e-01,3.922880422927021299e-02,3.076605624436767883e-02,8.458747644851761366e-03
9.896016858807848982e-01,4.613692522174828170e-02,3.420770716107345705e-02,1.192225078533149137e-02
1.021017612416682763e+00,5.372495140202865338e-02,3.781701967379953039e-02,1.589615125160962622e-02
1.052433538952580738e+00,6.201363513954039064e-02,4.158382544832223832e-02,2.041044508522754652e-02
1.083849465488478714e+00,7.101951319092711379e-02,4.549587956461297739e-02,2.549264634879876840e-02
1.115265392024376467e+00,8.075437616448542799e-02,4.953882648672562616e-02,3.116721664751300261e-02
1.146681318560274443e+00,9.122477018742156107e-02,5.369620379725788262e-02,3.745499248357198052e-02
1.178097245096172418e+00,1.024315374029637765e-01,5.794948580262049981e-02,4.437262197843137856e-02
1.209513171632070394e+00,1.143694030598750577e-01,6.227816993258115247e-02,5.193202319858202659e-02
1.240929098167968370e+00,1.270266175549059628e-01,6.665990879271022074e-02,6.013987642411574436e-02
1.272345024703866123e+00,1.403846619149111408e-01,7.107068983186953792e-02,6.899716215643615647e-02
1.303760951239764099e+00,1.544180249394809523e-01,7.548506300785645662e-02,7.849875551175240773e-02
1.335176877775662074e+00,1.690940596353920355e-01,7.987641479311545500e-02,8.863308601755665039e-02
1.366592804311560050e+00,1.843729257125380772e-01,8.421728462434552309e-02,9.938186991492457822e-02
1.398008730847458025e+00,2.002076238151567766e-01,8.847971774225331376e-02,1.107199200974329223e-01
1.429424657383356001e+00,2.165441258619225928e-01,9.263564654211441096e-02,1.226150370047497939e-01
1.460840583919253755e+00,2.333216043903272863e-01,9.665729125138507183e-02,1.350279823015035074e-01
1.492256510455151730e+00,2.504727621714239461e-01,1.005175700677475720e-01,1.479125360954456903e-01
1.523672436991049706e+00,2.679242616093326923e-01,1.041905088310560445e-01,1.612156377763193094e-01
1.555088363526947681e+00,2.855972515979275372e-01,1.076516407763639244e-01,1.748776101963465113e-01
1.586504290062845657e+00,3.034079876102033224e-01,1.108783877670197759e-01,1.888324667120455380e-01
