z,reference_u0,reference_u1,reference_u2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.792526803190927432e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.585053606381854864e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.377580409572782296e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.117010721276370973e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.396263401595463716e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675516081914556459e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.954768762233649419e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.234021442552741946e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.513274122871834472e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.792526803190927432e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.071779483510020392e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.351032163829112918e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.630284844148205445e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.909537524467298839e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.188790204786391365e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.468042885105483891e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.747295565424576418e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.026548245743668944e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.305800926062762338e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.585053606381854864e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.864306286700947390e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.143558967020040784e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.422811647339133310e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.702064327658225837e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.981317007977318363e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.260569688296410890e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.539822368615504283e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.819075048934597677e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.098327729253689336e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.377580409572782730e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.656833089891874389e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.936085770210967782e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.215338450530061176e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.494591130849152835e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.773843811168246229e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.005309649148733789e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.033234917180643128e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.061160185212552468e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.089085453244461633e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.117010721276370973e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.144935989308280312e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.172861257340189478e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200786525372098817e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.228711793404008157e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.256637061435917323e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.284562329467826662e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.312487597499735828e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.340412865531645167e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.368338133563554507e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.396263401595463673e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.424188669627373012e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.452113937659282178e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.480039205691191517e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.507964473723100857e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.535889741755010023e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.563815009786919535e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.591740277818828528e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.619665545850737867e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.647590813882647207e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675516081914556546e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703441349946465885e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.731366617978374878e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.759291886010284217e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.787217154042193556e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.815142422074102896e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.843067690106012235e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.870992958137921228e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.898918226169830567e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.926843494201739906e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.954768762233649246e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.982694030265558585e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.010619298297467578e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.038544566329376917e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.066469834361286256e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.094395102393195596e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.122320370425104935e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.150245638457014274e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
