step,dt
1.000000000000000000e+00,1.252138145354864812e-02
2.000000000000000000e+00,1.249350856097237485e-02
3.000000000000000000e+00,1.279248417066999183e-02
4.000000000000000000e+00,1.262266045414801169e-02
5.000000000000000000e+00,1.459673192300730421e-02
6.000000000000000000e+00,1.621899230447224408e-02
7.000000000000000000e+00,1.875981531314528661e-02
8.000000000000000000e+00,1.850738887273090799e-02
9.000000000000000000e+00,1.417795751292242126e-02
1.000000000000000000e+01,1.417067069634315134e-02
1.100000000000000000e+01,1.420764675765804480e-02
1.200000000000000000e+01,1.424513871066382387e-02
1.300000000000000000e+01,1.428257898485494129e-02
1.400000000000000000e+01,1.431983751783697315e-02
1.500000000000000000e+01,1.435678760731829567e-02
1.600000000000000000e+01,1.439330217430371574e-02
1.700000000000000000e+01,1.442925440990889749e-02
1.800000000000000000e+01,1.446451845629604348e-02
1.900000000000000000e+01,1.449897006821230031e-02
2.000000000000000000e+01,1.453248724745645482e-02
2.100000000000000000e+01,1.456495084374469749e-02
2.200000000000000000e+01,1.459624511639007020e-02
2.300000000000000000e+01,1.462625825164352508e-02
2.400000000000000000e+01,1.465488283212872112e-02
2.500000000000000000e+01,1.468201625498456384e-02
2.600000000000000000e+01,1.470756109710200793e-02
2.700000000000000000e+01,1.473142542633531192e-02
2.800000000000000000e+01,1.475352305891558351e-02
2.900000000000000000e+01,1.477377376412134305e-02
3.000000000000000000e+01,1.479210341825911400e-02
3.100000000000000000e+01,1.480844411072592716e-02
3.200000000000000000e+01,1.482273420581622404e-02
3.300000000000000000e+01,1.483491836421035187e-02
3.400000000000000000e+01,1.484494752898415058e-02
3.500000000000000000e+01,7.894023185168656462e-03
3.600000000000000000e+01,4.078319251537868180e-03
3.700000000000000000e+01,4.782940456743627576e-03
3.800000000000000000e+01,4.329603871992037181e-03
3.900000000000000000e+01,5.853956243832826763e-03
4.000000000000000000e+01,8.574439584163075223e-03
4.100000000000000000e+01,1.049871591775240927e-02
4.200000000000000000e+01,1.228511243947559388e-02
4.300000000000000000e+01,1.386630649477358854e-02
4.400000000000000000e+01,1.697003471634499910e-02
4.500000000000000000e+01,1.487331353635524059e-02
4.600000000000000000e+01,1.484394222513878148e-02
4.700000000000000000e+01,1.483315590950184601e-02
4.800000000000000000e+01,1.482026090275787022e-02
4.900000000000000000e+01,1.480506210234406803e-02
5.000000000000000000e+01,1.478757612327797483e-02
5.100000000000000000e+01,1.476782644044310686e-02
5.200000000000000000e+01,1.474584121603162053e-02
5.300000000000000000e+01,1.472165318131212451e-02
5.400000000000000000e+01,1.469529953676947977e-02
5.500000000000000000e+01,1.466682184880898666e-02
5.600000000000000000e+01,1.463626594336002278e-02
5.700000000000000000e+01,1.460368179706361680e-02
5.800000000000000000e+01,1.456912342679656837e-02
5.900000000000000000e+01,1.453264877802315676e-02
6.000000000000000000e+01,1.449431961287972991e-02
6.100000000000000000e+01,1.445420139921162368e-02
6.200000000000000000e+01,1.441236320170468516e-02
6.300000000000000000e+01,1.436887757695224158e-02
6.400000000000000000e+01,1.413431028172515425e-02
6.500000000000000000e+01,1.446488822326850651e-02
6.600000000000000000e+01,1.423118630199158956e-02
6.700000000000000000e+01,1.418004748853286638e-02
6.800000000000000000e+01,1.412951024286406357e-02
6.900000000000000000e+01,1.407784758880930090e-02
7.000000000000000000e+01,1.402513607141018734e-02
7.100000000000000000e+01,1.397147317125675865e-02
7.200000000000000000e+01,1.391695948348737819e-02
7.300000000000000000e+01,8.317056756305341025e-03
