z,hybrid_u0,hybrid_u1
9.999999999999999547e-07,-7.390305083497593476e-17,1.999999999999999833e-01
1.262072810223470454e-02,-1.389547164130525668e-02,1.950715670867811669e-01
3.363206729992898603e-02,-3.377585735975946468e-02,1.768557214115358822e-01
5.456534591747594365e-02,-5.412878813554727886e-02,1.476908699977074468e-01
7.538958806665083112e-02,-7.474067718473574595e-02,1.096125144451947642e-01
9.608295627803137284e-02,-9.517610679304489008e-02,6.525098361157101456e-02
1.166363042505103587e-01,-1.151461502354682725e-01,1.773869741905589881e-02
1.370544545479103482e-01,-1.343781611001927945e-01,-2.951698308056265388e-02
1.573587874527573871e-01,-1.527286014353110566e-01,-7.314271727792126532e-02
1.778408044491917306e-01,-1.703542983563949564e-01,-1.106164522458765176e-01
1.977476911659519221e-01,-1.865937028310729329e-01,-1.381858515121206221e-01
2.179269482305398187e-01,-2.020820056826095612e-01,-1.558848688744522704e-01
2.381628523784294904e-01,-2.165055637095912588e-01,-1.627032663027505044e-01
2.585076219503056882e-01,-2.296808012527900844e-01,-1.589127571928087290e-01
2.790119617301301536e-01,-2.413563420470033749e-01,-1.454029388851467153e-01
2.997232454703930848e-01,-2.512562593144603285e-01,-1.235031888533914823e-01
3.206837109417650100e-01,-2.591305022563156757e-01,-9.484333872303947477e-02
3.419284187856436175e-01,-2.648035031181916743e-01,-6.126424551758533066e-02
3.634828905470972593e-01,-2.682140806085806517e-01,-2.476791361463937663e-02
3.853605426043374416e-01,-2.694409388691223484e-01,1.251357657828250369e-02
4.075602213375555949e-01,-2.687090943362525630e-01,4.835290660086736386e-02
4.300642836116058687e-01,-2.663739017870691561e-01,8.048562277433067569e-02
4.528377266198436724e-01,-2.628814553070820126e-01,1.067055561989273677e-01
4.758288380721950039e-01,-2.587073117079836670e-01,1.250049936402382322e-01
4.989717152805138722e-01,-2.542797903601166087e-01,1.337597414059460144e-01
5.221908092274255564e-01,-2.498994467238857264e-01,1.319508497645376643e-01
5.454074056635679346e-01,-2.456724493468531723e-01,1.194020703388814775e-01
5.685476473840375133e-01,-2.414811164016807399e-01,9.698877601744820831e-02
5.915515987984923951e-01,-2.370144027868911762e-01,6.673891112780229451e-02
6.144153701193799666e-01,-2.318557037210053906e-01,3.167073089513967876e-02
6.403130097471182447e-01,-2.245697656868983760e-01,-9.586261098162547969e-03
6.799405806540397279e-01,-2.095759497963165796e-01,-6.785838110278889779e-02
6.956379290835200679e-01,-2.028538966922008857e-01,-8.336712297107734537e-02
7.237309363906400117e-01,-1.892172975631395693e-01,-1.026917831125477437e-01
7.370056300514714609e-01,-1.823406698031305728e-01,-1.047725463674050589e-01
7.488776513649799682e-01,-1.759442400747728841e-01,-1.039866919526225841e-01
7.713524586822730900e-01,-1.631613937590060404e-01,-9.855769842594215568e-02
7.940273874162919743e-01,-1.495666514920277190e-01,-8.650609531447039924e-02
8.169450677713768760e-01,-1.351499770371755726e-01,-6.944468418800354981e-02
8.401301302465827847e-01,-1.198907092197636498e-01,-4.900476318282669108e-02
8.635888396552227064e-01,-1.037906014215490558e-01,-2.676405705059251017e-02
8.873102596545284770e-01,-8.690054172970033963e-02,-4.208315707826804780e-03
9.112685729768572607e-01,-6.933226273081626034e-02,1.730655487256747144e-02
9.354261957766260016e-01,-5.125180841419180872e-02,3.660993446068551427e-02
9.597373274455428538e-01,-3.285832687576461381e-02,5.279281868266530453e-02
9.841516387825817169e-01,-1.435664180072871235e-02,6.529410324966283818e-02
1.008617871499416063e+00,4.066516238768799058e-03,7.397274142108668793e-02
1.033087130686534794e+00,2.225506899212510714e-02,7.913352538855150664e-02
1.057515591325678184e+00,4.008284947036733908e-02,8.147784839256014267e-02
1.081866288581665669e+00,5.744384787629470968e-02,8.197100819004878025e-02
1.106109722921677418e+00,7.424145121106927314e-02,8.165012224072466795e-02
1.130223226121004343e+00,9.038326004989578888e-02,8.142568633283216173e-02
1.154189333101603543e+00,1.057828296447003019e-01,8.193636174694063357e-02
1.177993644654484306e+00,1.203649807501338265e-01,8.349422436087647337e-02
1.201622732278209149e+00,1.340703476954965001e-01,8.611950322984608663e-02
1.225062517143348462e+00,1.468569656214566976e-01,8.963228275712960269e-02
1.248297333978051649e+00,1.586992107666896357e-01,9.375825929731862463e-02
1.271309676203943750e+00,1.695855059992230074e-01,9.821520628112134776e-02
