z,mol_u0,mol_u1
1.047197551196597624e-02,-1.960826827904657566e-02,1.860907070406410402e-01
3.141592653589792700e-02,-3.972032109738694167e-02,1.610702164968869088e-01
5.235987755982988295e-02,-6.012136503930088499e-02,1.271937050768412736e-01
7.330382858376183197e-02,-8.051236354422237895e-02,8.688354995667069147e-02
9.424777960769378793e-02,-1.005829560946391726e-01,4.312487904172761233e-02
1.151917306316257439e-01,-1.200856916784516643e-01,-8.465991126527360605e-04
1.361356816555576721e-01,-1.388441131925195193e-01,-4.185816787348545231e-02
1.570796326794896280e-01,-1.567375401423935499e-01,-7.713049203610027049e-02
1.780235837034215840e-01,-1.736648785273894602e-01,-1.045569476208974696e-01
1.989675347273535400e-01,-1.895043524512479705e-01,-1.228606566883189838e-01
2.199114857512854959e-01,-2.040932661598668652e-01,-1.316096309023960242e-01
2.408554367752174519e-01,-2.172348681297464335e-01,-1.311172543561949511e-01
2.617993877991494078e-01,-2.287255701133574792e-01,-1.222797546957185150e-01
2.827433388230813915e-01,-2.383911728514292450e-01,-1.064004395867869934e-01
3.036872898470133197e-01,-2.461202487759328872e-01,-8.503322757929628051e-02
3.246312408709453035e-01,-2.518866299121600427e-01,-5.985862074367598318e-02
3.455751918948772317e-01,-2.557576028983502558e-01,-3.259142099781468793e-02
3.665191429188091599e-01,-2.578879531889259891e-01,-4.912620592731569043e-03
3.874630939427411436e-01,-2.585022835588368650e-01,2.158389597000042945e-02
4.084070449666730718e-01,-2.578690087053319147e-01,4.543830287628411457e-02
4.293509959906050555e-01,-2.562696355294690198e-01,6.537185111874922738e-02
4.502949470145369837e-01,-2.539668678809123281e-01,8.033770114550675689e-02
4.712388980384689674e-01,-2.511751100325552155e-01,8.957600060050177615e-02
4.921828490624008956e-01,-2.480371700453104233e-01,9.266960526409274979e-02
5.131268000863328238e-01,-2.446110777210863674e-01,8.959241989658781047e-02
5.340707511102648075e-01,-2.408703127270097610e-01,8.073848793551041680e-02
5.550147021341967912e-01,-2.367187575410798495e-01,6.691825645485253993e-02
5.759586531581286639e-01,-2.320182476884942446e-01,4.931063519539074375e-02
5.969026041820606476e-01,-2.266226202156866598e-01,2.936658901730435783e-02
6.178465552059926313e-01,-2.204095440263250660e-01,8.671263051077328365e-03
6.387905062299246151e-01,-2.133019640475359580e-01,-1.121617387315220621e-02
6.597344572538564877e-01,-2.052749699213620160e-01,-2.891752422675372691e-02
6.806784082777884715e-01,-1.963494294241807381e-01,-4.335776070673181409e-02
7.016223593017204552e-01,-1.865779275911122193e-01,-5.383541313879587620e-02
7.225663103256523279e-01,-1.760295837977616518e-01,-6.003604410134473490e-02
7.435102613495843116e-01,-1.647784632740172950e-01,-6.199713111315299091e-02
7.644542123735162953e-01,-1.528972909096880939e-01,-6.004088162950108054e-02
7.853981633974482790e-01,-1.404557221178201198e-01,-5.469308284714051449e-02
8.063421144213801517e-01,-1.275212848205165561e-01,-4.660266071647079650e-02
8.272860654453121354e-01,-1.141611201627419775e-01,-3.647108565009116177e-02
8.482300164692441191e-01,-1.004432667942914970e-01,-2.499556147150695448e-02
8.691739674931759918e-01,-8.643695847561537471e-02,-1.282631999123289360e-02
8.901179185171079755e-01,-7.221196506642414692e-02,-5.364933358192889093e-04
9.110618695410399592e-01,-5.783732493428260513e-02,1.139747222123134798e-02
9.320058205649719429e-01,-4.337991962990567218e-02,2.260665304224841743e-02
9.529497715889038156e-01,-2.890329101759032959e-02,3.283303866583749120e-02
9.738937226128357993e-01,-1.446695976990693133e-02,4.192638045350633585e-02
9.948376736367677831e-01,-1.263275053384020630e-04,4.983525353791535412e-02
1.015781624660699656e+00,1.406691991159838423e-02,5.659320375424919947e-02
1.036725575684631639e+00,2.806410612857584280e-02,6.230114841555740163e-02
1.057669526708563623e+00,4.181879830522509250e-02,6.710753815163862657e-02
1.078613477732495607e+00,5.528619731829517020e-02,7.118802052215246479e-02
1.099557428756427591e+00,6.842281955809255412e-02,7.472636620953986009e-02
1.120501379780359574e+00,8.118650360330470495e-02,7.789818470345810653e-02
1.141445330804291336e+00,9.353668441306571546e-02,8.085850377690831370e-02
1.162389281828223320e+00,1.054348213846027504e-01,8.373371019154851602e-02
1.183333232852155303e+00,1.168448518858562629e-01,8.661776761867939767e-02
1.204277183876087287e+00,1.277335615981967654e-01,8.957214903885328539e-02
1.225221134900019271e+00,1.380708021734319280e-01,9.262861246329957832e-02
1.246165085923951255e+00,1.478295296948314852e-01,9.579382877618478065e-02
1.267109036947883238e+00,1.569856730944876044e-01,9.905491440880308252e-02
1.288052987971815000e+00,1.655178650611742464e-01,1.023850794912068846e-01
1.308996938995746984e+00,1.734070792807486106e-01,1.057488172801448467e-01
1.329940890019678967e+00,1.806362202152839158e-01,1.091062836163364941e-01
1.350884841043610951e+00,1.871897089374878198e-01,1.124167113536567730e-01
1.371828792067542935e+00,1.930531040254543640e-01,1.156408557408009213e-01
1.392772743091474918e+00,1.982127921749434474e-01,1.187425677641317651e-01
1.413716694115406902e+00,2.026557797475087019e-01,1.216896478313119895e-01
