z,reference_u0,reference_u1
0.000000000000000000e+00,-1.137307044353592439e-04,1.999894253575725811e-01
1.256637061435917128e-04,-2.274842748162388497e-04,1.999783758759794972e-01
2.513274122871834255e-04,-3.412608461450291741e-04,1.999668533583173202e-01
3.769911184307751383e-04,-4.550604231616485950e-04,1.999548572663534807e-01
5.026548245743668510e-04,-5.688830341903407251e-04,1.999423876602053340e-01
6.283185307179586180e-04,-6.827287160282466362e-04,1.999294446033564043e-01
7.539822368615502765e-04,-7.965975018759123734e-04,1.999160281551094209e-01
8.796459430051419351e-04,-9.104894250636111569e-04,1.999021383759818637e-01
1.005309649148733702e-03,-1.024404518784709445e-03,1.998877753271068591e-01
1.130973355292325469e-03,-1.138342815969875955e-03,1.998729390702352615e-01
1.256637061435917236e-03,-1.252304349325782367e-03,1.998576296677437303e-01
1.382300767579508786e-03,-1.366289151332963654e-03,1.998418471826340359e-01
1.507964473723100553e-03,-1.480297254244371426e-03,1.998255916785333375e-01
1.633628179866692320e-03,-1.594328690085681415e-03,1.998088632196944325e-01
1.759291886010283870e-03,-1.708383490655207169e-03,1.997916618709961178e-01
1.884955592153875637e-03,-1.822461687523828713e-03,1.997739876979432727e-01
2.010619298297467404e-03,-1.936563312034923811e-03,1.997558407666674696e-01
2.136283004441059171e-03,-2.050688395304305946e-03,1.997372211439267520e-01
2.261946710584650938e-03,-2.164836968220157105e-03,1.997181288971064395e-01
2.387610416728242705e-03,-2.279009061442972914e-03,1.996985640942190443e-01
2.513274122871834472e-03,-2.393204705405491302e-03,1.996785268039046879e-01
2.638937829015425805e-03,-2.507423930312640669e-03,1.996580170954314060e-01
2.764601535159017572e-03,-2.621666766141472673e-03,1.996370350386953429e-01
2.890265241302609339e-03,-2.735933242641109750e-03,1.996155807042211405e-01
3.015928947446201106e-03,-2.850223389332683533e-03,1.995936541631621874e-01
3.141592653589792873e-03,-2.964537235509278040e-03,1.995712554873008415e-01
3.267256359733384640e-03,-3.078874810235876763e-03,1.995483847490488738e-01
3.392920065876976407e-03,-3.193236142349304123e-03,1.995250420214476905e-01
3.518583772020567740e-03,-3.307621260458175165e-03,1.995012273781684442e-01
3.644247478164159507e-03,-3.422030192942833535e-03,1.994769408935126997e-01
3.769911184307751274e-03,-3.536462967955310722e-03,1.994521826424124900e-01
3.895574890451343041e-03,-3.650919613419265335e-03,1.994269527004306208e-01
4.021238596594934808e-03,-3.765400157029938442e-03,1.994012511437610602e-01
4.146902302738526142e-03,-3.879904626254101953e-03,1.993750780492292152e-01
4.272566008882118342e-03,-3.994433048330009624e-03,1.993484334942922653e-01
4.398229715025709675e-03,-4.108985450267348474e-03,1.993213175570393569e-01
4.523893421169301876e-03,-4.223561858847197162e-03,1.992937303161921303e-01
4.649557127312893209e-03,-4.338162300621973937e-03,1.992656718511048308e-01
4.775220833456485410e-03,-4.452786801915395443e-03,1.992371422417646976e-01
4.900884539600076743e-03,-4.567435388822436819e-03,1.992081415687923795e-01
5.026548245743668944e-03,-4.682108087209281393e-03,1.991786699134420191e-01
5.152211951887260277e-03,-4.796804922713283383e-03,1.991487273576017791e-01
5.277875658030851611e-03,-4.911525920742927133e-03,1.991183139837942317e-01
5.403539364174443811e-03,-5.026271106477785480e-03,1.990874298751763583e-01
5.529203070318035144e-03,-5.141040504868478120e-03,1.990560751155402153e-01
5.654866776461627345e-03,-5.255834140636641248e-03,1.990242497893131013e-01
5.780530482605218678e-03,-5.370652038274882460e-03,1.989919539815578342e-01
5.906194188748810879e-03,-5.485494222046748657e-03,1.989591877779733897e-01
6.031857894892402212e-03,-5.600360715986688748e-03,1.989259512648947348e-01
6.157521601035993546e-03,-5.715251543900022428e-03,1.988922445292936603e-01
6.283185307179585746e-03,-5.830166729362904615e-03,1.988580676587787532e-01
6.408849013323177080e-03,-5.945106295722288152e-03,1.988234207415959798e-01
6.534512719466769280e-03,-6.060070266095902991e-03,1.987883038666289626e-01
6.660176425610360613e-03,-6.175058663372217163e-03,1.987527171233991474e-01
6.785840131753952814e-03,-6.290071510210408154e-03,1.987166606020664972e-01
6.911503837897544147e-03,-6.405108829040339485e-03,1.986801343934295472e-01
7.037167544041135481e-03,-6.520170642062524287e-03,1.986431385889258217e-01
7.162831250184727681e-03,-6.635256971248107080e-03,1.986056732806323055e-01
7.288494956328319015e-03,-6.750367838338833422e-03,1.985677385612656665e-01
7.414158662471911215e-03,-6.865503264847025618e-03,1.985293345241826435e-01
7.539822368615502549e-03,-6.980663272055559303e-03,1.984904612633804077e-01
7.665486074759094749e-03,-7.095847881017839157e-03,1.984511188734969789e-01
7.791149780902686083e-03,-7.211057112557777218e-03,1.984113074498115581e-01
7.916813487046278283e-03,-7.326290987269770336e-03,1.983710270882448057e-01
8.042477193189869616e-03,-7.441549525518684552e-03,1.983302778853593684e-01
8.168140899333460950e-03,-7.556832747439836892e-03,1.982890599383599906e-01
8.293804605477052283e-03,-7.672140672938962402e-03,1.982473733450941800e-01
8.419468311620645351e-03,-7.787473321692215018e-03,1.982052182040523747e-01
8.545132017764236684e-03,-7.902830713146142411e-03,1.981625946143684425e-01
8.670795723907828018e-03,-8.018212866517665169e-03,1.981195026758199862e-01
8.796459430051419351e-03,-8.133619800794075066e-03,1.980759424888287046e-01
8.922123136195012419e-03,-8.249051534733008173e-03,1.980319141544607531e-01
9.047786842338603752e-03,-8.364508086862442252e-03,1.979874177744272434e-01
9.173450548482195085e-03,-8.479989475480679412e-03,1.979424534510845490e-01
9.299114254625786419e-03,-8.595495718656339171e-03,1.978970212874346102e-01
9.424777960769377752e-03,-8.711026834228337637e-03,1.978511213871254892e-01
9.550441666912970820e-03,-8.826582839805892713e-03,1.978047538544516759e-01
9.676105373056562153e-03,-8.942163752768513690e-03,1.977579187943543093e-01
9.801769079200153487e-03,-9.057769590265980428e-03,1.977106163124218718e-01
9.927432785343744820e-03,-9.173400369218355499e-03,1.976628465148903557e-01
1.005309649148733789e-02,-9.289056106315966843e-03,1.976146095086437626e-01
1.017876019763092922e-02,-9.404736818019402561e-03,1.975659054012145477e-01
1.030442390377452055e-02,-9.520442520559521324e-03,1.975167343007838416e-01
1.043008760991811189e-02,-9.636173229937429821e-03,1.974670963161819504e-01
1.055575131606170322e-02,-9.751928961924498374e-03,1.974169915568888267e-01
1.068141502220529629e-02,-9.867709732062348790e-03,1.973664201330343482e-01
1.080707872834888762e-02,-9.983515555662866511e-03,1.973153821553988441e-01
1.093274243449247896e-02,-1.009934644780818500e-02,1.972638777354133177e-01
1.105840614063607029e-02,-1.021520242335070827e-02,1.972119069851600848e-01
1.118406984677966162e-02,-1.033108349691309533e-02,1.971594700173730230e-01
1.130973355292325469e-02,-1.044698968288827225e-02,1.971065669454380442e-01
